Date,Wind Dir,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5
2022-07-05,206.0,1.0,30.2,77.6,37.6,989.0,0.0,,6.0
2022-07-09,217.0,0.7,27.2,89.8,31.2,988.6,0.2,,6.0
2022-07-14,106.0,1.2,28.3,86.8,34.0,987.6,7.6,,4.0
2022-08-09,231.0,1.1,25.3,96.2,26.2,987.9,16.0,,6.0
2022-09-14,205.0,0.4,27.1,91.5,31.3,993.3,49.4,,5.0
2022-09-15,206.0,1.1,28.0,83.3,32.5,991.3,0.0,,8.0
2022-10-12,47.0,2.5,26.0,67.7,27.2,996.5,0.0,,18.0
2022-11-09,46.0,0.6,26.3,73.9,27.9,997.6,0.0,,11.0
2022-11-11,46.0,0.4,27.7,71.6,30.3,996.1,0.0,,5.0
2022-11-19,44.0,2.4,27.9,72.8,30.9,994.0,0.0,,17.0
2022-12-06,43.0,2.5,23.7,71.5,24.6,997.0,0.0,,8.0
2022-12-14,36.0,4.2,20.5,64.5,23.9,999.7,0.0,,30.0
2022-12-20,30.0,0.9,21.8,71.4,23.3,996.4,0.0,,21.0
2023-01-12,114.0,0.1,23.2,89.2,22.3,995.5,0.0,,18.0
2023-01-30,46.0,3.6,19.6,43.3,25.4,1003.6,0.0,,38.0
2023-01-31,328.0,0.0,20.7,64.9,23.9,995.5,0.0,,50.0
2023-02-01,73.0,0.0,23.7,63.7,24.9,994.5,0.0,,69.0
2023-02-02,42.0,0.1,27.2,67.3,28.9,995.3,0.0,,62.0
2023-02-03,24.0,0.0,26.1,77.5,27.8,995.5,0.0,,16.0
2023-02-04,32.0,0.1,26.4,77.8,28.3,994.2,0.0,,19.0
2023-02-05,36.0,0.0,27.1,74.5,29.5,993.8,0.0,,30.0
2023-02-06,185.0,0.0,28.3,71.4,31.5,992.7,0.0,,37.0
2023-02-07,62.0,0.3,28.1,75.0,31.6,993.5,0.0,,51.0
2023-02-08,145.0,0.1,28.6,69.9,31.8,993.3,0.0,,57.0
2023-02-09,168.0,0.7,29.5,65.9,33.1,993.6,0.0,,48.0
2023-02-10,194.0,0.6,29.4,65.9,32.8,993.4,0.0,,45.0
2023-02-11,226.0,0.9,29.9,66.8,34.0,993.0,0.0,,57.0
2023-02-12,224.0,1.4,30.6,61.3,34.4,993.2,0.0,,46.0
2023-02-13,233.0,1.3,31.0,59.1,34.7,993.4,0.0,,50.0
2023-02-14,66.0,4.6,26.8,68.1,28.3,996.0,0.0,,51.0
