Date,Wind Dir,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5
2012-06-25,131.0,1.5,27.4,77.9,30.4,0.0,1.4,,26.0
2012-06-30,225.0,3.0,29.1,68.6,32.6,1005.5,0.0,,22.0
2012-07-01,0.0,1.7,28.3,73.3,31.7,1005.8,0.0,,36.0
2012-07-02,0.0,2.5,27.7,72.3,30.5,1005.9,0.0,,36.0
2012-07-06,164.0,2.3,27.4,73.2,29.9,1005.6,0.0,,20.0
2012-07-07,199.0,2.7,26.8,75.0,28.9,1005.7,3.0,,16.0
2012-07-11,188.0,3.2,27.7,70.6,30.2,1007.1,0.2,,13.0
2012-07-12,173.0,2.5,29.0,66.2,32.1,1006.4,0.0,,18.0
2012-07-13,135.0,2.4,29.0,72.6,33.1,1006.4,0.0,,32.0
2012-07-14,158.0,1.7,26.2,78.2,27.9,1007.7,0.8,,37.0
2012-07-18,211.0,3.7,28.6,64.8,31.1,1008.8,0.0,,67.0
2012-07-26,176.0,2.3,29.2,65.6,32.3,1007.6,0.0,,27.0
2012-07-28,166.0,2.5,29.2,67.3,32.5,1007.9,0.0,,50.0
2012-08-03,200.0,3.4,28.7,65.5,31.4,1007.8,0.0,,21.0
2012-08-09,180.0,2.6,28.9,65.5,31.7,1007.2,0.0,,51.0
2012-08-12,147.0,1.8,26.4,80.5,28.4,1009.0,43.4,,81.0
2012-08-13,160.0,2.2,28.1,75.2,31.7,1007.6,1.0,,61.33333333333333
2012-08-15,186.0,2.7,29.2,60.2,31.4,1007.3,0.0,,41.66666666666666
2012-08-18,179.0,2.7,27.8,69.6,30.3,1007.8,0.6,,22.0
2012-08-24,189.0,2.4,25.8,80.5,27.3,1008.5,15.6,,17.0
2012-08-27,181.0,2.7,26.1,79.0,27.9,1008.3,14.0,,11.0
2012-09-01,177.0,2.5,28.2,70.0,31.0,1007.7,0.0,,32.0
2012-09-02,174.0,2.2,28.7,68.7,31.9,1007.0,0.0,,30.0
2012-09-06,187.0,3.2,26.7,73.5,28.5,1008.3,8.0,,8.0
2012-09-08,116.0,2.7,26.3,79.5,28.3,1010.1,15.4,,15.0
2013-03-12,67.0,2.6,27.5,72.8,30.1,1010.1,0.0,,26.0
2013-03-13,53.0,2.4,27.5,71.3,29.8,1010.3,0.0,,23.0
2013-03-14,58.0,3.7,28.0,69.6,30.6,1010.7,0.0,,23.0
2013-03-17,62.0,2.8,28.1,71.2,31.1,1008.4,0.0,,20.5
2013-03-24,78.0,2.6,28.2,71.9,31.4,1006.5,0.0,,18.0
2013-03-25,108.0,2.3,29.1,65.0,31.9,1005.3,0.0,,23.0
2013-03-26,92.0,2.2,29.7,65.5,33.4,1005.7,0.0,,25.0
2013-03-28,87.0,2.4,29.2,70.2,33.3,1006.5,0.0,,25.0
2013-03-29,74.0,2.4,29.3,71.3,33.7,1005.9,0.0,,22.0
2013-04-02,73.0,3.1,29.6,71.9,34.6,1006.3,0.0,,10.0
2013-04-08,130.0,1.7,29.2,69.0,32.9,1005.3,0.0,,49.0
2013-04-11,67.0,3.2,28.0,74.1,31.1,1006.5,4.0,,21.0
2013-04-12,74.0,4.3,27.2,78.7,30.0,1006.3,31.0,,17.0
2013-04-14,9.0,2.0,26.9,85.8,30.2,1007.2,0.4,,13.0
2013-04-15,101.0,1.9,27.0,84.4,30.0,1005.9,10.4,,9.0
2013-04-17,156.0,1.3,24.1,93.7,23.5,1006.1,39.0,,13.0
2013-04-19,102.0,2.0,29.0,68.2,32.5,1005.3,0.0,,21.0
2013-04-20,142.0,1.8,29.0,70.9,32.9,1006.1,0.0,,24.0
2013-04-21,155.0,1.8,27.8,74.1,30.8,1006.5,0.0,,28.0
2013-04-22,65.0,2.2,29.4,69.1,33.5,1006.8,0.0,,21.0
2013-04-26,132.0,2.0,28.3,75.2,32.0,1008.1,0.0,,22.0
2013-04-27,148.0,2.2,28.3,73.4,31.9,1008.1,0.0,,20.0
2013-04-28,151.0,2.1,29.3,67.9,33.1,1007.1,0.0,,14.0
2013-04-29,147.0,2.1,28.6,73.6,32.6,1007.0,0.0,,18.0
2013-04-30,128.0,1.8,27.5,81.0,30.9,1007.7,10.2,,23.0
2013-05-01,149.0,1.5,27.5,79.6,30.7,1006.4,0.0,,18.0
2013-05-03,142.0,1.5,27.0,85.9,30.3,1006.2,16.2,,14.0
2013-05-05,70.0,1.9,28.1,82.3,32.7,1007.0,0.0,,25.0
2013-05-06,88.0,1.8,26.0,90.6,28.0,1007.4,25.6,,11.0
2013-05-07,114.0,1.7,27.7,84.4,32.0,1007.0,0.0,,16.0
2013-05-08,129.0,1.7,27.5,85.9,31.7,1006.6,29.0,,22.0
2013-05-09,129.0,1.7,28.4,80.0,33.2,1006.4,0.0,,18.0
2013-05-10,97.0,2.0,27.1,83.6,30.2,1005.6,8.2,,17.0
2013-05-11,93.0,1.4,29.5,75.1,35.0,1003.9,0.2,,18.0
2013-05-12,136.0,1.7,29.3,75.0,34.5,1005.8,0.0,,19.0
2013-05-14,136.0,1.4,28.3,81.8,33.1,1004.6,0.0,,20.0
2013-05-15,174.0,2.1,29.0,75.2,33.7,1004.4,0.0,,19.0
2013-05-19,155.0,1.7,26.7,87.6,29.6,1006.7,15.0,,21.0
2013-05-20,157.0,1.8,26.9,80.4,29.6,1006.9,0.4,,17.0
2013-05-21,182.0,2.7,28.8,74.1,33.1,1006.8,0.0,,27.0
2013-05-23,174.0,2.1,29.2,74.5,34.1,1006.7,0.0,,19.0
2013-05-26,148.0,1.9,27.7,77.3,31.1,1007.3,0.4,,12.0
2013-05-29,163.0,2.0,28.8,70.1,32.3,1006.8,0.0,,18.0
2013-05-30,147.0,1.8,26.6,85.7,29.3,1006.9,12.6,,16.0
2013-06-03,163.0,1.9,28.1,75.2,31.5,1004.5,0.0,,13.0
2013-06-04,154.0,1.8,27.3,83.0,30.8,1005.8,11.8,,14.0
2013-06-08,185.0,2.3,29.8,68.7,34.2,1004.4,0.0,,14.0
2013-06-09,177.0,2.5,28.1,76.1,31.7,1004.0,0.8,,11.0
2013-06-12,180.0,2.4,27.5,80.2,30.9,1002.9,0.2,,17.0
2013-06-13,167.0,1.8,25.2,92.6,26.1,1003.6,6.6,,19.0
2013-06-14,150.0,2.1,26.6,86.8,29.4,1003.0,8.4,,23.0
2013-06-18,178.0,2.6,27.7,81.1,31.5,1002.9,6.2,,18.0
2013-06-19,178.0,2.7,28.4,78.4,32.9,1004.3,0.0,,12.0
2013-06-20,215.0,3.2,29.2,72.5,33.7,1005.2,0.0,,24.0
2013-06-23,170.0,2.0,29.3,73.7,34.1,1005.2,0.0,,40.0
2013-06-25,125.0,1.5,28.3,76.7,32.2,1008.4,0.0,,36.0
2013-07-01,154.0,1.9,26.4,78.9,28.4,823.9,0.0,,29.0
2013-07-02,192.0,3.0,27.1,75.4,29.6,0.0,0.0,,22.0
2013-07-03,167.0,2.3,26.7,83.3,29.3,1004.8,15.4,,15.0
2013-07-04,217.0,2.9,25.8,77.6,27.3,1006.5,9.2,,8.0
2013-07-08,152.0,1.2,25.0,92.7,25.6,1008.3,13.4,,27.0
2013-07-11,125.0,1.5,26.4,83.3,28.7,1008.4,0.0,,16.0
2013-07-13,285.0,3.5,28.8,66.1,31.6,1006.1,0.2,,16.0
2013-07-16,145.0,1.5,25.7,82.1,27.2,1008.5,0.0,,22.0
2013-07-17,223.0,3.3,28.8,66.8,31.8,1006.6,0.0,,13.0
2013-07-19,178.0,2.1,28.0,78.3,31.7,1005.7,0.0,,23.0
2013-07-20,184.0,2.2,28.2,71.7,31.3,1005.4,0.0,,30.0
2013-07-22,182.0,2.7,28.6,69.8,31.8,1004.0,4.6,,25.0
2013-07-23,186.0,2.6,27.2,77.3,29.8,1005.9,8.2,,20.0
2013-07-24,177.0,2.4,27.5,74.7,30.2,1007.2,0.2,,12.0
2013-07-30,203.0,3.0,28.7,66.6,31.5,1005.0,0.0,,18.0
2013-08-01,180.0,2.6,25.4,89.0,26.5,1005.2,28.6,,11.0
2013-08-06,208.0,3.1,26.5,76.7,28.4,1006.9,0.0,,9.0
2013-08-16,120.0,1.7,27.3,80.8,30.5,1006.6,18.4,,27.0
2013-08-27,142.0,2.2,27.4,83.8,31.2,1006.7,62.4,,35.0
2013-08-30,151.0,2.0,27.0,85.3,30.2,1008.3,7.8,,13.0
2013-09-04,146.0,1.8,27.5,78.7,30.7,1008.0,0.0,,17.0
2013-09-28,224.0,2.7,26.9,83.9,29.8,1007.8,13.8,,14.0
2013-09-29,242.0,3.5,27.6,73.1,30.2,1006.5,0.0,,9.0
2013-09-30,222.0,2.6,27.8,76.8,31.1,1006.4,0.0,,14.0
2013-10-01,158.0,1.8,27.5,81.4,31.2,1007.8,0.0,,15.0
2013-10-02,142.0,1.8,27.1,86.4,30.5,1009.4,4.6,,18.0
2013-10-03,221.0,3.2,27.7,73.2,30.4,1010.0,0.0,,14.0
2013-10-04,175.0,2.3,26.2,82.7,28.2,1009.2,0.6,,12.0
2013-10-05,188.0,2.8,25.5,88.7,26.7,1008.3,6.8,,11.0
2013-10-07,188.0,2.2,26.1,84.6,28.1,1008.5,6.4,,10.0
2013-10-08,140.0,2.1,25.5,90.4,26.9,1009.4,9.8,,12.0
2013-10-09,217.0,2.5,27.5,75.9,30.3,1009.6,0.0,,21.0
2013-10-10,105.0,1.8,27.0,82.1,29.9,1010.1,0.2,,32.0
2013-10-11,81.0,2.2,27.7,80.9,31.5,1008.9,3.2,,32.0
2013-10-13,125.0,1.7,25.8,90.1,27.6,1008.1,36.2,,30.0
2013-10-14,148.0,1.5,26.2,91.6,28.6,1007.6,2.8,,36.0
2013-10-15,186.0,3.1,28.0,79.0,31.9,1007.4,0.0,,34.0
2013-10-16,159.0,2.1,27.2,83.4,30.6,1007.9,0.0,,34.0
2013-10-17,112.0,2.0,28.0,80.5,32.3,1008.2,0.0,,32.0
2013-10-18,111.0,1.9,27.1,85.3,30.6,1009.0,12.2,,37.0
2013-10-19,55.0,1.9,26.3,89.7,28.8,1010.1,11.2,,35.0
2013-10-21,116.0,1.3,24.5,94.6,24.3,1008.7,42.6,,30.0
2013-10-22,81.0,2.3,26.5,83.7,28.9,1008.4,11.2,,28.0
2013-10-23,17.0,2.0,26.2,89.5,28.5,1008.6,4.6,,26.0
