Date,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5,year,month_sin,month_cos,dayofweek_sin,dayofweek_cos,dayofyear_sin,dayofyear_cos,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM2.5_lag7,PM2.5_lag14,PM2.5_rollmean3,PM2.5_rollstd3,PM2.5_rollmean7,PM2.5_rollstd7,PM2.5_rollmean14,PM2.5_rollstd14,Wind Dir_sin,Wind Dir_cos
2018-04-10,3.2,30.4,69.7,36.0,1009.3,0.0,16207,43.0,2018,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.9911140639934547,-0.1330147065341959,,,,,,,,,,,,1.2246467991473532e-16,-1.0
2018-04-11,4.5,30.2,79.1,38.0,1008.5,0.0,17389,19.0,2018,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.9886775902323405,-0.1500553983446526,43.0,,,,,43.0,,43.0,,43.0,,-0.22495105434386498,-0.9743700647852352
2018-04-12,4.8,30.3,78.9,38.1,1008.2,0.0,18160,11.0,2018,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.9859481499638304,-0.16705162550211924,19.0,43.0,,,,31.0,16.97056274847714,31.0,16.97056274847714,31.0,16.97056274847714,-0.2079116908177595,-0.9781476007338056
2018-04-13,4.8,30.5,79.7,39.2,1008.3,0.0,17780,9.0,2018,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.9829265519799822,-0.18399835165768005,11.0,19.0,43.0,,,24.333333333333332,16.65332799572906,24.333333333333332,16.65332799572906,24.333333333333332,16.65332799572906,-0.2419218955996675,-0.9702957262759965
2018-04-14,5.0,30.6,79.5,39.4,1007.6,0.0,19379,9.0,2018,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.9796136916454901,-0.20089055513063506,9.0,11.0,19.0,,,13.0,5.291502622129175,20.5,15.609825965290794,20.5,15.609825965290794,-0.19080899537654472,-0.981627183447664
2018-04-15,3.7,30.5,77.7,38.6,1007.9,0.0,19031,8.0,2018,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.9760105506323683,-0.21772323039653177,9.0,9.0,11.0,,,9.666666666666666,1.154700538379215,18.2,14.463747785411636,18.2,14.463747785411636,0.06975647374412552,-0.9975640502598242
2018-04-16,3.6,30.8,74.8,38.6,1009.2,0.0,18168,16.0,2018,1.0,6.123233995736766e-17,0.0,1.0,0.9721181966290613,-0.23449138957040985,8.0,9.0,9.0,,,8.666666666666666,0.5773502691895468,16.5,13.590437814875575,16.5,13.590437814875575,0.2249510543438652,-0.9743700647852351
2018-04-17,3.1,25.5,93.6,26.8,1011.4,29.6,11702,10.0,2018,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.9679377830240642,-0.25119006388481935,16.0,8.0,9.0,43.0,,11.0,4.358898943540664,16.428571428571427,12.4077548715463,16.428571428571427,12.4077548715463,0.8910065241883678,0.4539904997395468
2018-04-18,2.4,28.7,79.3,33.7,1009.9,0.0,15726,19.0,2018,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.9634705485641488,-0.2678143051621742,10.0,16.0,8.0,19.0,,11.333333333333334,4.163331998932256,11.714285714285714,4.151878519188058,15.625,11.710038428630368,0.258819045102521,-0.9659258262890682
2018-04-19,4.5,30.3,77.9,38.0,1008.4,0.0,19247,12.0,2018,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.9587178169872964,-0.2843591872810034,19.0,10.0,16.0,11.0,,15.0,4.5825756949558345,11.714285714285714,4.151878519188058,16.0,11.01135777277262,-0.2079116908177595,-0.9781476007338056
2018-04-20,4.8,30.3,79.0,38.4,1008.3,0.4,19071,9.0,2018,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.9536809966304457,-0.30081980763566735,12.0,19.0,10.0,9.0,,13.666666666666666,4.7258156262526025,11.857142857142858,4.1403933560541235,15.6,10.458383134011575,-0.17364817766693047,-0.984807753012208
2018-04-21,4.9,30.5,78.3,38.9,1008.1,0.0,19059,11.0,2018,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.9483615800121715,-0.3171912885891061,9.0,12.0,19.0,9.0,,13.333333333333334,5.131601439446878,11.857142857142858,4.1403933560541235,15.0,10.119288512538814,-0.2079116908177595,-0.9781476007338056
2018-04-22,4.9,30.7,76.9,39.0,1007.7,0.0,19648,9.0,2018,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.9427611433904207,-0.3334687789181868,11.0,9.0,12.0,8.0,,10.666666666666666,1.527525231651919,12.142857142857142,3.9761191895520174,14.666666666666666,9.717213717122949,-0.275637355816999,-0.9612616959383189
2018-04-23,4.5,31.3,76.7,40.6,1006.6,0.0,18944,13.0,2018,1.0,6.123233995736766e-17,0.0,1.0,0.9368813462954315,-0.3496474552512284,9.0,11.0,9.0,16.0,,9.666666666666666,1.154700538379212,12.285714285714286,3.8172540616821085,14.23076923076923,9.435340005831321,-0.2079116908177595,-0.9781476007338056
2018-04-24,5.2,31.0,78.4,40.4,1007.0,0.0,19100,11.0,2018,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.9307239310379795,-0.36572252349726897,13.0,9.0,11.0,10.0,43.0,11.0,1.9999999999999793,11.857142857142858,3.4846602621858453,14.142857142857142,9.071147352221454,-0.08715574274765794,-0.9961946980917455
2018-04-25,3.8,30.5,79.3,39.1,1007.1,0.0,17056,16.0,2018,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.9242907221930933,-0.3816892202666588,11.0,13.0,9.0,19.0,19.0,11.0,1.9999999999999793,12.0,3.4156502553198633,11.857142857142858,3.655494133853498,-0.017452406437283637,-0.9998476951563913
2018-04-26,3.2,28.8,81.8,34.4,1008.8,2.8,16830,13.0,2018,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.9175836260593937,-0.39754281428255595,16.0,11.0,13.0,12.0,11.0,13.333333333333334,2.5166114784235702,11.571428571428571,2.4397501823713283,11.642857142857142,3.2724289463319414,0.6946583704589971,-0.7193398003386513
2018-04-27,2.2,28.1,84.1,33.0,1009.8,14.4,15415,14.0,2018,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.9106046300942162,-0.4132786077829042,13.0,16.0,11.0,9.0,9.0,13.333333333333334,2.5166114784235702,11.714285714285714,2.497617912751111,11.785714285714286,3.28583372931487,0.8829475928589269,0.46947156278589086
2018-04-28,1.5,24.0,99.1,22.6,1011.1,75.8,8345,12.0,2018,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.9033558023246845,-0.4288919379124835,14.0,13.0,16.0,11.0,9.0,14.333333333333334,1.5275252316519277,12.428571428571429,2.2990681342044357,12.142857142857142,3.2310308632943157,0.48480962024633706,0.8746197071393957
2018-04-29,2.7,27.4,87.4,31.5,1009.3,11.6,12733,15.0,2018,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.895839290734909,-0.4443781781046132,12.0,14.0,13.0,9.0,8.0,13.0,0.999999999999966,12.571428571428571,2.2253945610567425,12.357142857142858,3.103525113780796,0.9563047559630355,-0.29237170472273666
2018-04-30,1.8,25.6,96.4,27.0,1009.8,92.2,11741,8.0,2018,1.0,6.123233995736766e-17,0.0,1.0,0.8880573226294932,-0.45973273945210397,15.0,12.0,14.0,13.0,16.0,13.666666666666666,1.5275252316519259,13.428571428571429,1.7182493859684422,12.857142857142858,2.905092156810248,0.788010753606722,-0.6156614753256583
2018-05-01,2.5,27.3,89.5,31.5,1010.2,1.0,17452,4.0,2018,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.8800122039735357,-0.47495107206704995,8.0,15.0,12.0,11.0,10.0,11.666666666666666,3.5118845842842354,12.714285714285714,2.690370836538192,12.285714285714286,3.023715784073813,0.5299192642332049,-0.848048096156426
2018-05-02,3.0,28.6,83.6,34.4,1010.3,11.6,18290,4.0,2018,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.8717063187093218,-0.4900286664290592,4.0,8.0,15.0,16.0,19.0,9.0,5.5677643628300135,11.714285714285714,4.270608298368654,11.857142857142858,3.718087656870907,0.05233595624294381,-0.9986295347545738
2018-05-03,2.3,28.4,82.6,33.6,1010.2,0.8,18439,9.0,2018,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.8631421280499114,-0.5049610547215204,4.0,4.0,8.0,13.0,12.0,5.333333333333333,2.3094010767584785,10.0,4.654746681256311,10.785714285714286,3.6622517543292776,0.9876883405951378,0.15643446504023092
