Date,PM2.5
2011-01-01,
2011-01-02,
2011-01-03,
2011-01-04,
2011-01-05,
2011-01-06,
2011-01-07,
2011-01-08,
2011-01-09,
2011-01-10,
2011-01-11,
2011-01-12,
2011-01-13,
2011-01-14,
2011-01-15,
2011-01-16,
2011-01-17,
2011-01-18,
2011-01-19,
2011-01-20,
2011-01-21,
2011-01-22,
2011-01-23,
2011-01-24,
2011-01-25,
2011-01-26,
2011-01-27,
2011-01-28,
2011-01-29,
2011-01-30,
2011-01-31,
2011-02-01,
2011-02-02,
2011-02-03,
2011-02-04,
2011-02-05,
2011-02-06,
2011-02-07,
2011-02-08,
2011-02-09,
2011-02-10,
2011-02-11,
2011-02-12,
2011-02-13,
2011-02-14,
2011-02-15,
2011-02-16,
2011-02-17,
2011-02-18,
2011-02-19,
2011-02-20,
2011-02-21,
2011-02-22,
2011-02-23,
2011-02-24,
2011-02-25,
2011-02-26,
2011-02-27,
2011-02-28,
2011-03-01,
2011-03-02,
2011-03-03,
2011-03-04,
2011-03-05,
2011-03-06,
2011-03-07,
2011-03-08,
2011-03-09,
2011-03-10,
2011-03-11,
2011-03-12,
2011-03-13,
2011-03-14,
2011-03-15,
2011-03-16,
2011-03-17,
2011-03-18,
2011-03-19,
2011-03-20,
2011-03-21,
2011-03-22,
2011-03-23,
2011-03-24,
2011-03-25,
2011-03-26,
2011-03-27,
2011-03-28,
2011-03-29,
2011-03-30,
2011-03-31,
2011-04-01,
2011-04-02,
2011-04-03,
2011-04-04,
2011-04-05,
2011-04-06,
2011-04-07,
2011-04-08,
2011-04-09,
2011-04-10,
2011-04-11,
2011-04-12,
2011-04-13,
2011-04-14,
2011-04-15,
2011-04-16,
2011-04-17,
2011-04-18,
2011-04-19,
2011-04-20,
2011-04-21,
2011-04-22,
2011-04-23,
2011-04-24,
2011-04-25,
2011-04-26,
2011-04-27,
2011-04-28,
2011-04-29,
2011-04-30,
2011-05-01,
2011-05-02,
2011-05-03,
2011-05-04,
2011-05-05,
2011-05-06,
2011-05-07,
2011-05-08,
2011-05-09,
2011-05-10,
2011-05-11,
2011-05-12,
2011-05-13,
2011-05-14,
2011-05-15,
2011-05-16,44.0
2011-05-17,45.0
2011-05-18,45.0
2011-05-19,49.0
2011-05-20,43.0
2011-05-21,28.0
2011-05-22,21.0
2011-05-23,17.0
2011-05-24,32.0
2011-05-25,42.0
2011-05-26,37.0
2011-05-27,23.0
2011-05-28,27.0
2011-05-29,21.0
2011-05-30,18.0
2011-05-31,17.0
2011-06-01,28.0
2011-06-02,35.0
2011-06-03,41.0
2011-06-04,36.0
2011-06-05,28.0
2011-06-06,29.0
2011-06-07,34.0
2011-06-08,27.0
2011-06-09,24.0
2011-06-10,31.0
2011-06-11,22.0
2011-06-12,24.0
2011-06-13,20.0
2011-06-14,18.0
2011-06-15,14.0
2011-06-16,24.0
2011-06-17,20.0
2011-06-18,25.0
2011-06-19,19.0
2011-06-20,21.0
2011-06-21,28.0
2011-06-22,36.0
2011-06-23,36.0
2011-06-24,32.0
2011-06-25,39.0
2011-06-26,37.0
2011-06-27,30.0
2011-06-28,29.0
2011-06-29,31.0
2011-06-30,35.0
2011-07-01,24.0
2011-07-02,30.0
2011-07-03,28.0
2011-07-04,32.0
2011-07-05,37.0
2011-07-06,31.0
2011-07-07,34.0
2011-07-08,31.0
2011-07-09,32.0
2011-07-10,28.0
2011-07-11,25.0
2011-07-12,32.0
2011-07-13,26.0
2011-07-14,26.0
2011-07-15,16.0
2011-07-16,18.0
2011-07-17,25.0
2011-07-18,29.0
2011-07-19,24.0
2011-07-20,30.0
2011-07-21,24.0
2011-07-22,20.0
2011-07-23,22.0
2011-07-24,21.0
2011-07-25,24.0
2011-07-26,15.0
2011-07-27,19.0
2011-07-28,12.0
2011-07-29,17.0
2011-07-30,15.0
2011-07-31,20.0
2011-08-01,19.0
2011-08-02,13.0
2011-08-03,18.0
2011-08-04,30.0
2011-08-05,36.0
2011-08-06,28.0
2011-08-07,26.0
2011-08-08,24.0
2011-08-09,27.0
2011-08-10,31.0
2011-08-11,22.0
2011-08-12,24.0
2011-08-13,24.0
2011-08-14,29.0
2011-08-15,35.0
2011-08-16,42.0
2011-08-17,44.0
2011-08-18,33.0
2011-08-19,22.0
2011-08-20,22.0
2011-08-21,11.0
2011-08-22,13.0
2011-08-23,18.0
2011-08-24,21.0
2011-08-25,35.0
2011-08-26,33.0
2011-08-27,28.0
2011-08-28,21.0
2011-08-29,23.0
2011-08-30,25.0
2011-08-31,28.0
2011-09-01,28.0
2011-09-02,22.0
2011-09-03,23.0
2011-09-04,27.0
2011-09-05,31.0
2011-09-06,41.0
2011-09-07,33.0
2011-09-08,26.0
2011-09-09,29.0
2011-09-10,38.0
2011-09-11,35.0
2011-09-12,26.0
2011-09-13,21.0
2011-09-14,23.0
2011-09-15,23.0
2011-09-16,27.0
2011-09-17,25.0
2011-09-18,25.0
2011-09-19,32.0
2011-09-20,22.0
2011-09-21,22.0
2011-09-22,27.0
2011-09-23,41.0
2011-09-24,28.0
2011-09-25,35.0
2011-09-26,40.0
2011-09-27,37.0
2011-09-28,26.0
2011-09-29,26.0
2011-09-30,17.0
2011-10-01,15.0
2011-10-02,20.0
2011-10-03,21.0
2011-10-04,21.0
2011-10-05,27.0
2011-10-06,14.0
2011-10-07,16.0
2011-10-08,25.0
2011-10-09,36.0
2011-10-10,39.0
2011-10-11,36.0
2011-10-12,
2011-10-13,35.0
2011-10-14,30.0
2011-10-15,45.0
2011-10-16,33.0
2011-10-17,36.0
2011-10-18,49.0
2011-10-19,57.0
2011-10-20,64.0
2011-10-21,56.0
2011-10-22,45.0
2011-10-23,50.0
2011-10-24,58.0
2011-10-25,46.0
2011-10-26,46.0
2011-10-27,45.0
2011-10-28,30.0
2011-10-29,28.0
2011-10-30,33.0
2011-10-31,43.0
2011-11-01,42.0
2011-11-02,41.0
2011-11-03,50.0
2011-11-04,49.0
2011-11-05,55.0
2011-11-06,46.0
2011-11-07,54.0
2011-11-08,47.0
2011-11-09,52.0
2011-11-10,52.0
2011-11-11,59.0
2011-11-12,41.0
2011-11-13,35.0
2011-11-14,42.0
2011-11-15,45.0
2011-11-16,48.0
2011-11-17,52.0
2011-11-18,59.0
2011-11-19,62.0
2011-11-20,41.0
2011-11-21,64.0
2011-11-22,39.0
2011-11-23,28.0
2011-11-24,38.0
2011-11-25,58.0
2011-11-26,46.0
2011-11-27,45.0
2011-11-28,50.0
2011-11-29,
2011-11-30,
2011-12-01,44.0
2011-12-02,45.0
2011-12-03,32.0
2011-12-04,36.0
2011-12-05,44.0
2011-12-06,59.0
2011-12-07,53.0
2011-12-08,43.0
2011-12-09,40.0
2011-12-10,38.0
2011-12-11,38.0
2011-12-12,63.0
2011-12-13,
2011-12-14,
2011-12-15,
2011-12-16,58.0
2011-12-17,52.0
2011-12-18,53.0
2011-12-19,
2011-12-20,
2011-12-21,
2011-12-22,52.0
2011-12-23,55.0
2011-12-24,47.0
2011-12-25,60.0
2011-12-26,
2011-12-27,
2011-12-28,
2011-12-29,
2011-12-30,
2011-12-31,
2012-01-01,
2012-01-02,
2012-01-03,
2012-01-04,33.0
2012-01-05,59.0
2012-01-06,55.0
2012-01-07,57.0
2012-01-08,35.0
2012-01-09,36.0
2012-01-10,54.0
2012-01-11,56.0
2012-01-12,53.0
2012-01-13,48.0
2012-01-14,57.0
2012-01-15,32.0
2012-01-16,30.0
2012-01-17,41.0
2012-01-18,27.0
2012-01-19,19.0
2012-01-20,19.0
2012-01-21,20.0
2012-01-22,19.0
2012-01-23,23.0
2012-01-24,
2012-01-25,41.0
2012-01-26,53.0
2012-01-27,49.0
2012-01-28,58.0
2012-01-29,58.0
2012-01-30,56.0
2012-01-31,51.0
2012-02-01,58.0
2012-02-02,70.0
2012-02-03,55.0
2012-02-04,60.0
2012-02-05,42.0
2012-02-06,27.0
2012-02-07,26.0
2012-02-08,28.0
2012-02-09,28.0
2012-02-10,24.0
2012-02-11,33.0
2012-02-12,46.0
2012-02-13,43.0
2012-02-14,38.0
2012-02-15,41.0
2012-02-16,49.0
2012-02-17,55.0
2012-02-18,32.0
2012-02-19,42.0
2012-02-20,56.0
2012-02-21,79.0
2012-02-22,66.0
2012-02-23,48.0
2012-02-24,31.0
2012-02-25,20.0
2012-02-26,17.0
2012-02-27,19.0
2012-02-28,15.0
2012-02-29,23.0
2012-03-01,26.0
2012-03-02,29.0
2012-03-03,26.0
2012-03-04,20.0
2012-03-05,21.0
2012-03-06,21.0
2012-03-07,21.0
2012-03-08,19.0
2012-03-09,20.0
2012-03-10,19.0
2012-03-11,41.0
2012-03-12,57.0
2012-03-13,38.0
2012-03-14,46.0
2012-03-15,45.0
2012-03-16,29.0
2012-03-17,24.0
2012-03-18,36.0
2012-03-19,38.0
2012-03-20,58.0
2012-03-21,65.0
2012-03-22,59.0
2012-03-23,73.0
2012-03-24,56.0
2012-03-25,56.0
2012-03-26,50.0
2012-03-27,72.0
2012-03-28,78.0
2012-03-29,61.0
2012-03-30,70.0
2012-03-31,70.0
2012-04-01,67.0
2012-04-02,86.0
2012-04-03,81.0
2012-04-04,42.0
2012-04-05,33.0
2012-04-06,35.0
2012-04-07,46.0
2012-04-08,27.0
2012-04-09,51.0
2012-04-10,32.0
2012-04-11,22.0
2012-04-12,22.0
2012-04-13,18.0
2012-04-14,19.0
2012-04-15,18.0
2012-04-16,13.0
2012-04-17,18.0
2012-04-18,14.0
2012-04-19,18.0
2012-04-20,16.0
2012-04-21,25.0
2012-04-22,33.0
2012-04-23,37.0
2012-04-24,31.0
2012-04-25,38.0
2012-04-26,39.0
2012-04-27,38.0
2012-04-28,38.0
2012-04-29,34.0
2012-04-30,29.0
2012-05-01,27.0
2012-05-02,19.0
2012-05-03,20.0
2012-05-04,15.0
2012-05-05,20.0
2012-05-06,18.0
2012-05-07,23.0
2012-05-08,32.0
2012-05-09,37.0
2012-05-10,30.0
2012-05-11,29.0
2012-05-12,29.0
2012-05-13,30.0
2012-05-14,29.0
2012-05-15,34.0
2012-05-16,29.0
2012-05-17,47.0
2012-05-18,33.0
2012-05-19,25.0
2012-05-20,20.0
2012-05-21,12.0
2012-05-22,24.0
2012-05-23,26.0
2012-05-24,25.0
2012-05-25,29.0
2012-05-26,16.0
2012-05-27,14.0
2012-05-28,
2012-05-29,20.0
2012-05-30,27.0
2012-05-31,29.0
2012-06-01,
2012-06-02,
2012-06-03,30.0
2012-06-04,31.0
2012-06-05,40.0
2012-06-06,30.0
2012-06-07,29.0
2012-06-08,20.0
2012-06-09,16.0
2012-06-10,19.0
2012-06-11,20.0
2012-06-12,23.0
2012-06-13,29.0
2012-06-14,27.0
2012-06-15,35.0
2012-06-16,25.0
2012-06-17,23.0
2012-06-18,19.0
2012-06-19,24.0
2012-06-20,23.0
2012-06-21,24.0
2012-06-22,29.0
2012-06-23,30.0
2012-06-24,24.0
2012-06-25,25.0
2012-06-26,24.0
2012-06-27,27.0
2012-06-28,29.0
2012-06-29,23.0
2012-06-30,26.0
2012-07-01,20.0
2012-07-02,22.0
2012-07-03,31.0
2012-07-04,27.0
2012-07-05,30.0
2012-07-06,25.0
2012-07-07,25.0
2012-07-08,16.0
2012-07-09,26.0
2012-07-10,31.0
2012-07-11,27.0
2012-07-12,20.0
2012-07-13,23.0
2012-07-14,26.0
2012-07-15,29.0
2012-07-16,21.0
2012-07-17,23.0
2012-07-18,27.0
2012-07-19,23.0
2012-07-20,28.0
2012-07-21,20.0
2012-07-22,26.0
2012-07-23,25.0
2012-07-24,27.0
2012-07-25,21.0
2012-07-26,26.0
2012-07-27,24.0
2012-07-28,22.0
2012-07-29,27.0
2012-07-30,31.0
2012-07-31,21.0
2012-08-01,23.0
2012-08-02,17.0
2012-08-03,24.0
2012-08-04,24.0
2012-08-05,24.0
2012-08-06,24.0
2012-08-07,23.0
2012-08-08,21.0
2012-08-09,23.0
2012-08-10,22.0
2012-08-11,21.0
2012-08-12,
2012-08-13,
2012-08-14,
2012-08-15,
2012-08-16,
2012-08-17,
2012-08-18,
2012-08-19,
2012-08-20,
2012-08-21,
2012-08-22,25.0
2012-08-23,21.0
2012-08-24,28.0
2012-08-25,28.0
2012-08-26,31.0
2012-08-27,17.0
2012-08-28,24.0
2012-08-29,32.0
2012-08-30,28.0
2012-08-31,29.0
2012-09-01,23.0
2012-09-02,23.0
2012-09-03,24.0
2012-09-04,25.0
2012-09-05,30.0
2012-09-06,30.0
2012-09-07,28.0
2012-09-08,20.0
2012-09-09,27.0
2012-09-10,29.0
2012-09-11,26.0
2012-09-12,30.0
2012-09-13,26.0
2012-09-14,27.0
2012-09-15,32.0
2012-09-16,32.0
2012-09-17,28.0
2012-09-18,29.0
2012-09-19,31.0
2012-09-20,22.0
2012-09-21,25.0
2012-09-22,28.0
2012-09-23,23.0
2012-09-24,22.0
2012-09-25,38.0
2012-09-26,57.0
2012-09-27,33.0
2012-09-28,37.0
2012-09-29,47.0
2012-09-30,49.0
2012-10-01,47.0
2012-10-02,45.0
2012-10-03,31.0
2012-10-04,26.0
2012-10-05,30.0
2012-10-06,33.0
2012-10-07,36.0
2012-10-08,26.0
2012-10-09,
2012-10-10,
2012-10-11,
2012-10-12,
2012-10-13,
2012-10-14,
2012-10-15,
2012-10-16,
2012-10-17,
2012-10-18,
2012-10-19,46.0
2012-10-20,48.0
2012-10-21,47.0
2012-10-22,38.0
2012-10-23,38.0
2012-10-24,32.0
2012-10-25,32.0
2012-10-26,40.0
2012-10-27,33.0
2012-10-28,50.0
2012-10-29,41.0
2012-10-30,
2012-10-31,38.0
2012-11-01,32.0
2012-11-02,31.0
2012-11-03,31.0
2012-11-04,31.0
2012-11-05,31.0
2012-11-06,32.0
2012-11-07,32.0
2012-11-08,33.0
2012-11-09,34.0
2012-11-10,33.0
2012-11-11,32.0
2012-11-12,33.0
2012-11-13,33.0
2012-11-14,33.0
2012-11-15,32.0
2012-11-16,31.0
2012-11-17,34.0
2012-11-18,33.0
2012-11-19,
2012-11-20,33.0
2012-11-21,33.0
2012-11-22,35.0
2012-11-23,35.0
2012-11-24,32.0
2012-11-25,34.0
2012-11-26,31.0
2012-11-27,33.0
2012-11-28,32.0
2012-11-29,33.0
2012-11-30,31.0
2012-12-01,29.0
2012-12-02,30.0
2012-12-03,31.0
2012-12-04,32.0
2012-12-05,32.0
2012-12-06,32.0
2012-12-07,33.0
2012-12-08,31.0
2012-12-09,32.0
2012-12-10,
2012-12-11,
2012-12-12,
2012-12-13,
2012-12-14,
2012-12-15,
2012-12-16,
2012-12-17,68.0
2012-12-18,74.0
2012-12-19,59.0
2012-12-20,46.0
2012-12-21,52.0
2012-12-22,59.0
2012-12-23,38.0
2012-12-24,33.0
2012-12-25,55.0
2012-12-26,70.0
2012-12-27,67.0
2012-12-28,61.0
2012-12-29,47.0
2012-12-30,45.0
2012-12-31,26.0
2013-01-01,43.0
2013-01-02,56.0
2013-01-03,59.0
2013-01-04,
2013-01-05,
2013-01-06,62.0
2013-01-07,59.0
2013-01-08,78.0
2013-01-09,86.0
2013-01-10,69.0
2013-01-11,55.0
2013-01-12,
2013-01-13,40.0
2013-01-14,39.0
2013-01-15,43.0
2013-01-16,51.0
2013-01-17,62.0
2013-01-18,46.0
2013-01-19,55.0
2013-01-20,74.0
2013-01-21,84.0
2013-01-22,112.0
2013-01-23,72.0
2013-01-24,41.0
2013-01-25,34.0
2013-01-26,30.0
2013-01-27,31.0
2013-01-28,44.0
2013-01-29,61.0
2013-01-30,58.0
2013-01-31,44.0
2013-02-01,58.0
2013-02-02,72.0
2013-02-03,73.0
2013-02-04,88.0
2013-02-05,97.0
2013-02-06,29.0
2013-02-07,38.0
2013-02-08,34.0
2013-02-09,31.0
2013-02-10,46.0
2013-02-11,57.0
2013-02-12,57.0
2013-02-13,64.0
2013-02-14,89.0
2013-02-15,109.0
2013-02-16,49.0
2013-02-17,34.0
2013-02-18,32.0
2013-02-19,33.0
2013-02-20,
2013-02-21,
2013-02-22,
2013-02-23,47.0
2013-02-24,60.0
2013-02-25,70.0
2013-02-26,63.0
2013-02-27,31.0
2013-02-28,32.0
2013-03-01,22.0
2013-03-02,28.0
2013-03-03,39.0
2013-03-04,44.0
2013-03-05,50.0
2013-03-06,68.0
2013-03-07,80.0
2013-03-08,72.0
2013-03-09,35.0
2013-03-10,37.0
2013-03-11,40.0
2013-03-12,38.0
2013-03-13,47.0
2013-03-14,33.0
2013-03-15,46.0
2013-03-16,43.0
2013-03-17,27.0
2013-03-18,29.0
2013-03-19,36.0
2013-03-20,30.0
2013-03-21,32.0
2013-03-22,24.0
2013-03-23,22.0
2013-03-24,21.0
2013-03-25,27.0
2013-03-26,41.0
2013-03-27,41.0
2013-03-28,41.0
2013-03-29,30.0
2013-03-30,29.0
2013-03-31,20.0
2013-04-01,20.0
2013-04-02,19.0
2013-04-03,27.0
2013-04-04,32.0
2013-04-05,49.0
2013-04-06,61.0
2013-04-07,60.0
2013-04-08,61.0
2013-04-09,55.0
2013-04-10,47.0
2013-04-11,36.0
2013-04-12,35.0
2013-04-13,37.0
2013-04-14,21.0
2013-04-15,20.0
2013-04-16,20.0
2013-04-17,23.0
2013-04-18,32.0
2013-04-19,31.0
2013-04-20,28.0
2013-04-21,26.0
2013-04-22,26.0
2013-04-23,26.0
2013-04-24,34.0
2013-04-25,19.0
2013-04-26,20.0
2013-04-27,17.0
2013-04-28,30.0
2013-04-29,21.0
2013-04-30,17.0
2013-05-01,18.0
2013-05-02,23.0
2013-05-03,31.0
2013-05-04,22.0
2013-05-05,28.0
2013-05-06,34.0
2013-05-07,27.0
2013-05-08,24.0
2013-05-09,25.0
2013-05-10,19.0
2013-05-11,14.0
2013-05-12,20.0
2013-05-13,23.0
2013-05-14,
2013-05-15,35.0
2013-05-16,20.0
2013-05-17,21.0
2013-05-18,19.0
2013-05-19,22.0
2013-05-20,22.0
2013-05-21,21.0
2013-05-22,27.0
2013-05-23,32.0
2013-05-24,26.0
2013-05-25,19.0
2013-05-26,13.0
2013-05-27,21.0
2013-05-28,22.0
2013-05-29,26.0
2013-05-30,
2013-05-31,
2013-06-01,
2013-06-02,
2013-06-03,
2013-06-04,33.0
2013-06-05,36.0
2013-06-06,37.0
2013-06-07,35.0
2013-06-08,37.0
2013-06-09,38.0
2013-06-10,38.0
2013-06-11,36.0
2013-06-12,35.0
2013-06-13,37.0
2013-06-14,37.0
2013-06-15,39.0
2013-06-16,41.0
2013-06-17,40.0
2013-06-18,43.0
2013-06-19,37.0
2013-06-20,38.0
2013-06-21,38.0
2013-06-22,37.0
2013-06-23,39.0
2013-06-24,39.0
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-06-29,
2013-06-30,
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-04,27.0
2013-07-05,35.0
2013-07-06,35.0
2013-07-07,29.0
2013-07-08,20.0
2013-07-09,21.0
2013-07-10,25.0
2013-07-11,27.0
2013-07-12,28.0
2013-07-13,19.0
2013-07-14,20.0
2013-07-15,14.0
2013-07-16,19.0
2013-07-17,20.0
2013-07-18,25.0
2013-07-19,19.0
2013-07-20,24.0
2013-07-21,19.0
2013-07-22,20.0
2013-07-23,26.0
2013-07-24,21.0
2013-07-25,27.0
2013-07-26,18.0
2013-07-27,30.0
2013-07-28,26.0
2013-07-29,16.0
2013-07-30,19.0
2013-07-31,22.0
