Date,54T,36T,30T
1/1/2011,N/A,N/A,N/A
2/1/2011,N/A,N/A,N/A
3/1/2011,N/A,N/A,N/A
4/1/2011,N/A,N/A,N/A
5/1/2011,N/A,N/A,N/A
6/1/2011,N/A,N/A,N/A
7/1/2011,N/A,N/A,N/A
8/1/2011,N/A,N/A,N/A
9/1/2011,N/A,N/A,N/A
10/1/2011,N/A,N/A,N/A
11/1/2011,N/A,N/A,N/A
12/1/2011,N/A,N/A,N/A
13/1/2011,N/A,N/A,N/A
14/1/2011,N/A,N/A,N/A
15/1/2011,N/A,N/A,N/A
16/1/2011,N/A,N/A,N/A
17/1/2011,N/A,N/A,N/A
18/1/2011,N/A,N/A,N/A
19/1/2011,N/A,N/A,N/A
20/1/2011,N/A,N/A,N/A
21/1/2011,N/A,N/A,N/A
22/1/2011,N/A,N/A,N/A
23/1/2011,N/A,N/A,N/A
24/1/2011,N/A,N/A,N/A
25/1/2011,N/A,N/A,N/A
26/1/2011,N/A,N/A,N/A
27/1/2011,N/A,N/A,N/A
28/1/2011,N/A,N/A,N/A
29/1/2011,N/A,N/A,N/A
30/1/2011,N/A,N/A,N/A
31/1/2011,N/A,N/A,N/A
1/2/2011,N/A,N/A,N/A
2/2/2011,N/A,N/A,N/A
3/2/2011,N/A,N/A,N/A
4/2/2011,N/A,N/A,N/A
5/2/2011,N/A,N/A,N/A
6/2/2011,N/A,N/A,N/A
7/2/2011,N/A,N/A,N/A
8/2/2011,N/A,N/A,N/A
9/2/2011,N/A,N/A,N/A
10/2/2011,N/A,N/A,N/A
11/2/2011,N/A,N/A,N/A
12/2/2011,N/A,N/A,N/A
13/2/2011,N/A,N/A,N/A
14/2/2011,N/A,N/A,N/A
15/2/2011,N/A,N/A,N/A
16/2/2011,N/A,N/A,N/A
17/2/2011,N/A,N/A,N/A
18/2/2011,N/A,N/A,N/A
19/2/2011,N/A,N/A,N/A
20/2/2011,N/A,N/A,N/A
21/2/2011,N/A,N/A,N/A
22/2/2011,N/A,N/A,N/A
23/2/2011,N/A,N/A,N/A
24/2/2011,N/A,N/A,N/A
25/2/2011,N/A,N/A,N/A
26/2/2011,N/A,N/A,N/A
27/2/2011,N/A,N/A,N/A
28/2/2011,N/A,N/A,N/A
1/3/2011,N/A,N/A,N/A
2/3/2011,N/A,N/A,N/A
3/3/2011,N/A,N/A,N/A
4/3/2011,N/A,N/A,N/A
5/3/2011,N/A,N/A,N/A
6/3/2011,N/A,N/A,N/A
7/3/2011,N/A,N/A,N/A
8/3/2011,N/A,N/A,N/A
9/3/2011,N/A,N/A,N/A
10/3/2011,N/A,N/A,N/A
11/3/2011,N/A,N/A,N/A
12/3/2011,N/A,N/A,N/A
13/3/2011,N/A,N/A,N/A
14/3/2011,N/A,N/A,N/A
15/3/2011,N/A,N/A,N/A
16/3/2011,N/A,N/A,N/A
17/3/2011,N/A,N/A,N/A
18/3/2011,N/A,N/A,N/A
19/3/2011,N/A,N/A,N/A
20/3/2011,N/A,N/A,N/A
21/3/2011,N/A,N/A,N/A
22/3/2011,N/A,N/A,N/A
23/3/2011,N/A,N/A,N/A
24/3/2011,N/A,N/A,N/A
25/3/2011,N/A,N/A,N/A
26/3/2011,N/A,N/A,N/A
27/3/2011,N/A,N/A,N/A
28/3/2011,N/A,N/A,N/A
29/3/2011,N/A,N/A,N/A
30/3/2011,N/A,N/A,N/A
31/3/2011,N/A,N/A,N/A
1/4/2011,N/A,N/A,N/A
2/4/2011,N/A,N/A,N/A
3/4/2011,N/A,N/A,N/A
4/4/2011,N/A,N/A,N/A
5/4/2011,N/A,N/A,N/A
6/4/2011,N/A,N/A,N/A
7/4/2011,N/A,N/A,N/A
8/4/2011,N/A,N/A,N/A
9/4/2011,N/A,N/A,N/A
10/4/2011,N/A,N/A,N/A
11/4/2011,N/A,N/A,N/A
12/4/2011,N/A,N/A,N/A
13/4/2011,N/A,N/A,N/A
14/4/2011,N/A,N/A,N/A
15/4/2011,N/A,N/A,N/A
16/4/2011,N/A,N/A,N/A
17/4/2011,N/A,N/A,N/A
18/4/2011,N/A,N/A,N/A
19/4/2011,N/A,N/A,N/A
20/4/2011,N/A,N/A,N/A
21/4/2011,N/A,N/A,N/A
22/4/2011,N/A,N/A,N/A
23/4/2011,N/A,N/A,N/A
24/4/2011,N/A,N/A,N/A
25/4/2011,N/A,N/A,N/A
26/4/2011,N/A,N/A,N/A
27/4/2011,N/A,N/A,N/A
28/4/2011,N/A,N/A,N/A
29/4/2011,N/A,N/A,N/A
30/4/2011,N/A,N/A,N/A
1/5/2011,N/A,N/A,N/A
2/5/2011,N/A,N/A,N/A
3/5/2011,N/A,N/A,N/A
4/5/2011,N/A,N/A,N/A
5/5/2011,N/A,N/A,N/A
6/5/2011,N/A,N/A,N/A
7/5/2011,N/A,N/A,N/A
8/5/2011,N/A,N/A,N/A
9/5/2011,N/A,N/A,N/A
10/5/2011,N/A,N/A,N/A
11/5/2011,N/A,N/A,N/A
12/5/2011,N/A,N/A,N/A
13/5/2011,N/A,N/A,N/A
14/5/2011,N/A,N/A,N/A
15/5/2011,N/A,N/A,N/A
16/5/2011,44,N/A,N/A
17/5/2011,45,3,N/A
18/5/2011,45,12,N/A
19/5/2011,49,13,N/A
20/5/2011,43,19,N/A
21/5/2011,28,22,N/A
22/5/2011,21,22,N/A
23/5/2011,17,26,N/A
24/5/2011,32,29,N/A
25/5/2011,42,27,N/A
26/5/2011,37,22,#DIV/0!
27/5/2011,23,16,12
28/5/2011,27,17,15
29/5/2011,21,12,10
30/5/2011,18,15,8
31/5/2011,17,15,10
1/6/2011,28,19,11
2/6/2011,35,20,6
3/6/2011,41,15,9
4/6/2011,36,13,8
