Date,54T,24T,27T,30T,36T,40T,44T
1/1/2013,43,38,N/A,36,38,N/A,N/A
2/1/2013,56,46,N/A,39,47,N/A,12
3/1/2013,59,60,N/A,38,40,N/A,15
4/1/2013,N/A,58,N/A,39,44,N/A,12
5/1/2013,N/A,59,N/A,43,41,N/A,17
6/1/2013,62,58,N/A,43,49,N/A,24
7/1/2013,59,64,N/A,43,46,N/A,25
8/1/2013,78,86,N/A,59,46,N/A,20
9/1/2013,86,97,N/A,64,49,N/A,16
10/1/2013,69,98,N/A,44,53,N/A,N/A
11/1/2013,55,76,N/A,29,55,N/A,11
12/1/2013,N/A,69,N/A,20,43,N/A,16
13/1/2013,40,58,N/A,21,38,N/A,17
14/1/2013,39,72,N/A,21,50,N/A,20
15/1/2013,43,89,N/A,21,41,N/A,21
16/1/2013,51,105,N/A,33,52,N/A,28
17/1/2013,62,91,N/A,50,53,N/A,23
18/1/2013,46,80,N/A,34,55,N/A,20
19/1/2013,55,70,N/A,44,46,N/A,29
20/1/2013,74,97,N/A,70,46,N/A,19
21/1/2013,84,131,N/A,N/A,44,N/A,18
22/1/2013,112,132,N/A,77,51,N/A,9
23/1/2013,72,140,N/A,48,44,N/A,13
24/1/2013,41,98,N/A,26,32,N/A,15
25/1/2013,34,64,N/A,23,33,N/A,18
26/1/2013,30,55,N/A,13,38,N/A,13
27/1/2013,31,42,N/A,22,49,N/A,14
28/1/2013,44,37,N/A,27,45,N/A,17
29/1/2013,61,54,N/A,39,43,N/A,18
30/1/2013,58,68,N/A,36,33,N/A,18
31/1/2013,44,78,N/A,23,N/A,N/A,13
1/2/2013,58,54,N/A,44,21,N/A,12
2/2/2013,72,63,N/A,59,25,N/A,11
3/2/2013,73,48,N/A,58,23,N/A,12
4/2/2013,88,72,N/A,61,28,N/A,12
5/2/2013,97,92,N/A,N/A,30,N/A,12
6/2/2013,29,78,N/A,17,29,N/A,13
7/2/2013,38,60,N/A,18,34,N/A,19
8/2/2013,34,58,N/A,17,46,N/A,16
9/2/2013,31,57,N/A,18,57,N/A,12
10/2/2013,46,67,N/A,18,65,N/A,12
11/2/2013,57,86,N/A,35,49,N/A,13
12/2/2013,57,95,N/A,31,52,N/A,9
13/2/2013,64,70,N/A,52,65,N/A,14
14/2/2013,89,114,N/A,62,67,N/A,12
15/2/2013,109,119,N/A,56,69,N/A,11
16/2/2013,49,93,N/A,16,68,N/A,12
17/2/2013,34,90,N/A,15,81,N/A,13
18/2/2013,32,51,N/A,17,49,N/A,15
19/2/2013,33,N/A,N/A,19,34,N/A,20
20/2/2013,N/A,60,N/A,22,51,N/A,18
21/2/2013,N/A,81,N/A,26,51,N/A,17
22/2/2013,N/A,58,N/A,51,65,N/A,24
23/2/2013,47,35,N/A,37,42,N/A,19
24/2/2013,60,40,N/A,N/A,45,N/A,15
25/2/2013,70,65,N/A,60,57,N/A,9
26/2/2013,63,89,N/A,52,76,N/A,8
27/2/2013,31,70,N/A,18,76,N/A,10
28/2/2013,32,45,N/A,12,N/A,N/A,10
1/3/2013,22,40,N/A,12,N/A,N/A,10
2/3/2013,28,43,N/A,12,N/A,N/A,10
3/3/2013,39,49,N/A,12,N/A,N/A,11
4/3/2013,44,40,N/A,28,N/A,N/A,15
5/3/2013,50,43,N/A,32,N/A,N/A,21
6/3/2013,68,55,N/A,49,N/A,N/A,19
7/3/2013,80,67,N/A,60,32,N/A,18
8/3/2013,72,78,N/A,N/A,30,N/A,18
9/3/2013,35,69,N/A,27,17,N/A,24
10/3/2013,37,54,N/A,27,28,N/A,26
11/3/2013,40,51,N/A,27,49,N/A,28
12/3/2013,38,55,N/A,23,56,N/A,26
13/3/2013,47,59,N/A,20,73,N/A,23
14/3/2013,33,59,N/A,19,100,N/A,23
15/3/2013,46,51,N/A,28,108,N/A,15
16/3/2013,43,55,N/A,20,102,N/A,11
17/3/2013,27,33,N/A,15,94,N/A,N/A
18/3/2013,29,32,N/A,14,74,N/A,16
19/3/2013,36,32,N/A,12,62,N/A,18
20/3/2013,30,36,N/A,13,112,N/A,22
21/3/2013,32,37,N/A,15,188,N/A,17
22/3/2013,24,41,N/A,10,141,N/A,15
23/3/2013,22,37,N/A,10,N/A,N/A,14
24/3/2013,21,35,N/A,9,N/A,N/A,18
25/3/2013,27,47,N/A,13,N/A,N/A,23
26/3/2013,41,62,N/A,21,N/A,N/A,25
27/3/2013,41,60,N/A,19,N/A,N/A,25
28/3/2013,41,61,N/A,19,120,N/A,25
29/3/2013,30,46,N/A,13,101,N/A,22
30/3/2013,29,43,N/A,10,101,N/A,18
