Date,59T ,61T,54T ,24T ,26T ,27T,30T ,32T,36T ,40T,46T,44T 
1/1/2015,N/A,31,42,37,N/A,44,42,N/A,36,39,36,26
2/1/2015,N/A,36,48,46,N/A,56,51,N/A,29,47,55,20
3/1/2015,N/A,47,68,45,N/A,72,N/A,N/A,42,61,48,22
4/1/2015,N/A,54,77,59,N/A,71,N/A,N/A,53,N/A,66,22
5/1/2015,N/A,56,80,70,N/A,63,N/A,N/A,50,N/A,76,20
6/1/2015,N/A,48,57,65,N/A,51,N/A,N/A,33,N/A,93,15
7/1/2015,N/A,25,38,N/A,41,37,43,N/A,34,72,77,10
8/1/2015,N/A,24,38,N/A,37,27,N/A,N/A,51,57,18,10
9/1/2015,N/A,21,38,N/A,31,30,35,N/A,23,24,24,10
10/1/2015,N/A,32,47,N/A,51,47,33,N/A,11,12,27,12
11/1/2015,N/A,35,46,41,39,32,49,N/A,10,11,23,10
12/1/2015,N/A,25,39,34,27,28,45,N/A,10,15,28,11
13/1/2015,N/A,28,42,33,34,45,22,N/A,15,19,36,12
14/1/2015,N/A,48,64,51,49,59,30,N/A,27,29,51,9
15/1/2015,N/A,44,67,54,75,73,66,N/A,34,38,62,12
16/1/2015,N/A,57,75,64,75,97,50,N/A,33,45,57,28
17/1/2015,N/A,41,57,54,78,81,37,N/A,48,54,47,31
18/1/2015,N/A,54,72,51,78,97,53,N/A,58,50,48,15
19/1/2015,N/A,44,53,42,65,75,N/A,N/A,62,57,47,20
20/1/2015,N/A,50,67,59,67,83,51,N/A,60,60,73,20
21/1/2015,N/A,66,82,89,84,126,61,N/A,44,59,82,20
22/1/2015,N/A,77,93,88,74,145,60,N/A,32,78,68,33
23/1/2015,N/A,81,101,90,76,79,67,N/A,27,75,76,21
24/1/2015,N/A,51,70,108,69,58,59,N/A,34,N/A,97,28
25/1/2015,N/A,53,64,97,69,39,58,N/A,N/A,N/A,109,34
26/1/2015,N/A,45,54,97,75,43,61,N/A,41,N/A,108,34
27/1/2015,N/A,N/A,78,102,83,72,65,N/A,45,61,107,35
