Date,05T,59T,61T ,52T ,54T ,08T ,24T ,26T ,27T ,30T ,32T,35T,36T ,40T,46T,44T ,75T,76T,77T 
1/1/2016,N/A,17,28,N/A,N/A,N/A,N/A,37,30,21,15,N/A,25,N/A,18,N/A,8,N/A,N/A
2/1/2016,N/A,22,N/A,N/A,33,N/A,N/A,45,44,28,19,N/A,25,13,24,N/A,8,N/A,N/A
3/1/2016,N/A,28,N/A,N/A,50,N/A,N/A,64,56,47,31,N/A,27,20,40,N/A,11,N/A,N/A
4/1/2016,N/A,42,N/A,N/A,69,N/A,N/A,77,84,68,55,N/A,26,27,53,N/A,15,N/A,N/A
5/1/2016,N/A,35,57,N/A,58,N/A,N/A,56,56,65,48,N/A,27,29,59,N/A,16,N/A,N/A
6/1/2016,N/A,31,61,N/A,56,N/A,N/A,64,49,50,37,N/A,38,32,63,N/A,16,N/A,N/A
7/1/2016,N/A,32,62,N/A,58,N/A,N/A,63,47,54,42,N/A,45,36,64,N/A,18,N/A,N/A
8/1/2016,N/A,31,58,N/A,53,N/A,N/A,58,37,37,31,N/A,45,34,52,N/A,18,N/A,N/A
9/1/2016,N/A,16,34,N/A,46,N/A,N/A,22,13,24,19,N/A,37,41,51,N/A,24,N/A,N/A
10/1/2016,N/A,18,23,N/A,N/A,N/A,N/A,22,17,14,16,N/A,30,32,48,N/A,24,N/A,N/A
11/1/2016,N/A,22,35,N/A,N/A,N/A,N/A,35,33,17,22,N/A,40,47,47,20,17,N/A,N/A
12/1/2016,N/A,24,41,N/A,N/A,N/A,N/A,47,37,29,19,N/A,44,38,50,N/A,19,N/A,N/A
13/1/2016,N/A,20,35,N/A,N/A,N/A,N/A,35,16,30,22,N/A,48,39,40,N/A,20,N/A,N/A
14/1/2016,N/A,25,31,N/A,N/A,N/A,N/A,31,22,27,21,N/A,44,45,35,N/A,24,N/A,N/A
15/1/2016,N/A,8,18,N/A,N/A,N/A,N/A,21,10,22,15,N/A,30,23,43,N/A,21,N/A,N/A
16/1/2016,N/A,11,18,N/A,31,N/A,N/A,20,15,17,15,N/A,27,35,37,N/A,11,N/A,N/A
17/1/2016,N/A,8,16,N/A,34,N/A,N/A,30,13,14,10,N/A,35,51,36,13,14,N/A,N/A
18/1/2016,N/A,14,21,N/A,35,N/A,N/A,32,14,9,12,N/A,42,66,65,12,21,N/A,N/A
19/1/2016,N/A,11,18,N/A,34,N/A,N/A,26,10,17,14,N/A,56,71,31,9,26,N/A,N/A
20/1/2016,N/A,13,20,N/A,36,N/A,N/A,16,13,22,21,N/A,58,56,28,8,28,N/A,N/A
21/1/2016,N/A,14,30,N/A,37,N/A,N/A,24,19,26,22,N/A,67,33,45,7,21,N/A,N/A
22/1/2016,N/A,18,29,N/A,43,N/A,N/A,30,18,32,21,N/A,N/A,21,42,11,N/A,N/A,N/A
23/1/2016,N/A,19,32,N/A,50,N/A,N/A,32,19,34,21,N/A,19,23,38,14,N/A,N/A,N/A
24/1/2016,N/A,23,28,N/A,32,N/A,N/A,37,28,23,23,N/A,N/A,27,17,18,N/A,N/A,N/A
25/1/2016,N/A,20,30,N/A,38,N/A,N/A,22,25,18,20,N/A,6,6,25,N/A,N/A,N/A,N/A
26/1/2016,N/A,31,44,N/A,52,N/A,N/A,38,39,38,38,N/A,6,8,36,N/A,N/A,N/A,N/A
27/1/2016,N/A,27,44,N/A,56,N/A,N/A,45,43,59,47,N/A,13,9,30,25,6,N/A,N/A
28/1/2016,N/A,34,59,N/A,57,N/A,N/A,58,86,71,58,N/A,27,22,38,N/A,12,N/A,N/A
29/1/2016,N/A,39,70,N/A,N/A,N/A,N/A,78,97,77,67,N/A,33,21,49,N/A,15,N/A,N/A
30/1/2016,N/A,23,56,N/A,53,N/A,N/A,50,34,66,45,N/A,32,22,73,N/A,16,N/A,N/A
31/1/2016,N/A,13,22,N/A,34,N/A,N/A,24,22,22,17,N/A,31,28,58,19,18,N/A,N/A
1/2/2016,N/A,17,28,N/A,40,N/A,N/A,40,21,22,16,N/A,25,41,59,19,21,N/A,N/A
2/2/2016,N/A,22,35,N/A,37,N/A,N/A,82,54,48,32,N/A,31,46,25,22,23,N/A,N/A
