Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,24T,26T,27T,30T,32T,35T,36T,40T,44T,46T,62T,63T,75T,76T,77T,79T,80T
1/1/2017,33,21,28,N/A,34,N/A,N/A,28,N/A,17,24,27,17,21,30,N/A,21,7,N/A,N/A,N/A,16,20,18,N/A,N/A
2/1/2017,28,19,27,N/A,32,N/A,N/A,26,N/A,17,25,25,21,24,N/A,N/A,11,9,N/A,N/A,N/A,5,18,15,N/A,N/A
3/1/2017,31,19,32,N/A,34,N/A,N/A,28,N/A,22,28,36,15,19,N/A,13,12,6,N/A,N/A,N/A,4,21,19,N/A,N/A
4/1/2017,37,21,34,N/A,37,N/A,N/A,28,N/A,32,35,49,22,24,19,N/A,10,5,37,N/A,N/A,2,18,21,N/A,N/A
5/1/2017,45,29,40,N/A,45,N/A,N/A,34,N/A,34,39,48,23,24,N/A,N/A,7,7,42,N/A,N/A,N/A,12,29,N/A,N/A
6/1/2017,43,27,38,N/A,44,N/A,N/A,36,N/A,31,31,38,N/A,34,N/A,13,7,5,37,N/A,N/A,5,10,20,N/A,N/A
7/1/2017,46,30,42,N/A,52,N/A,N/A,41,N/A,57,36,50,N/A,42,22,15,10,N/A,50,N/A,N/A,6,16,33,N/A,N/A
8/1/2017,43,35,43,N/A,49,N/A,N/A,39,N/A,59,40,51,N/A,27,28,23,12,6,N/A,N/A,N/A,6,29,25,N/A,N/A
9/1/2017,35,27,33,N/A,39,N/A,N/A,30,N/A,71,33,58,N/A,20,28,N/A,16,10,N/A,N/A,N/A,6,24,30,N/A,N/A
10/1/2017,36,38,41,N/A,51,N/A,N/A,45,N/A,79,14,30,N/A,N/A,N/A,20,12,12,N/A,N/A,N/A,5,17,34,N/A,N/A
11/1/2017,25,17,24,N/A,29,N/A,N/A,26,N/A,70,10,17,N/A,20,N/A,12,6,10,40,N/A,N/A,N/A,12,18,N/A,N/A
12/1/2017,19,17,22,N/A,19,N/A,N/A,19,N/A,47,9,8,13,13,18,12,10,12,57,N/A,N/A,N/A,12,22,N/A,N/A
13/1/2017,29,20,30,N/A,27,N/A,N/A,25,N/A,59,12,13,21,14,21,14,14,14,45,N/A,N/A,6,24,30,N/A,N/A
14/1/2017,46,31,39,N/A,44,N/A,N/A,39,N/A,75,27,39,28,N/A,26,14,14,18,36,N/A,N/A,8,32,37,N/A,N/A
15/1/2017,62,40,51,N/A,54,N/A,N/A,60,N/A,58,38,58,N/A,40,27,18,17,14,N/A,N/A,N/A,8,33,33,N/A,N/A
16/1/2017,43,28,38,N/A,42,N/A,N/A,35,N/A,46,49,51,28,20,32,19,18,12,N/A,N/A,N/A,9,31,26,N/A,N/A
17/1/2017,36,23,35,N/A,36,N/A,N/A,31,N/A,63,53,47,16,16,35,26,24,6,26,N/A,N/A,9,46,23,N/A,N/A
18/1/2017,46,32,40,N/A,42,N/A,N/A,34,N/A,51,33,50,23,20,37,25,24,10,N/A,N/A,N/A,12,40,26,N/A,N/A
19/1/2017,42,41,38,N/A,47,N/A,N/A,34,N/A,48,43,66,29,22,36,33,20,N/A,37,N/A,N/A,10,33,32,N/A,N/A
20/1/2017,40,29,36,N/A,36,N/A,N/A,36,N/A,43,47,61,30,22,32,27,20,N/A,24,N/A,N/A,12,30,28,N/A,N/A
21/1/2017,37,27,34,N/A,35,N/A,N/A,30,N/A,31,48,51,26,20,34,29,18,13,N/A,N/A,N/A,11,28,28,N/A,N/A
22/1/2017,31,23,28,N/A,31,N/A,N/A,24,N/A,25,37,33,21,16,27,21,16,13,N/A,N/A,N/A,7,35,21,N/A,N/A
23/1/2017,38,25,32,N/A,35,N/A,N/A,29,N/A,29,37,44,21,19,29,24,16,10,32,N/A,N/A,9,27,27,N/A,N/A
24/1/2017,43,34,40,N/A,46,N/A,N/A,37,N/A,32,39,53,21,26,34,21,18,16,41,N/A,N/A,9,31,30,N/A,N/A
25/1/2017,55,45,48,N/A,57,N/A,N/A,49,N/A,39,42,57,33,34,32,19,18,14,28,N/A,N/A,10,33,56,N/A,N/A
26/1/2017,35,32,32,N/A,44,N/A,N/A,29,N/A,33,34,54,16,16,30,15,22,9,N/A,N/A,N/A,10,31,27,N/A,N/A
27/1/2017,38,27,35,N/A,43,N/A,N/A,32,N/A,37,36,44,17,20,33,20,16,N/A,29,N/A,N/A,11,36,25,N/A,N/A
28/1/2017,45,29,39,N/A,45,N/A,N/A,39,N/A,42,41,44,20,23,32,24,17,N/A,35,N/A,N/A,11,42,36,N/A,N/A
29/1/2017,58,47,53,N/A,62,N/A,N/A,57,N/A,80,44,53,N/A,38,39,28,32,17,64,N/A,N/A,15,N/A,42,N/A,N/A
30/1/2017,55,45,51,N/A,58,N/A,N/A,52,N/A,82,48,52,N/A,42,40,28,36,20,62,N/A,N/A,16,47,55,N/A,N/A
31/1/2017,52,46,50,N/A,58,N/A,N/A,52,N/A,44,55,59,N/A,36,52,40,37,13,33,N/A,N/A,17,57,48,N/A,N/A
1/2/2017,58,40,47,N/A,54,N/A,N/A,49,N/A,59,51,71,N/A,31,51,39,33,13,44,N/A,N/A,17,48,41,N/A,N/A
2/2/2017,49,48,50,N/A,59,N/A,N/A,45,N/A,35,45,67,N/A,30,44,33,21,23,24,N/A,N/A,17,45,31,N/A,N/A
3/2/2017,23,16,24,N/A,21,N/A,N/A,19,N/A,38,44,22,11,17,39,26,24,24,N/A,N/A,N/A,13,37,23,N/A,N/A
4/2/2017,43,28,38,N/A,35,N/A,N/A,37,N/A,46,44,57,N/A,N/A,36,27,25,9,39,N/A,N/A,14,39,35,N/A,N/A
5/2/2017,56,45,49,N/A,57,N/A,N/A,50,N/A,65,43,53,N/A,51,37,25,19,9,53,N/A,N/A,11,42,46,N/A,N/A
