Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,14T,17T,18T,19T,20T,21T,24T,25T,26T,27T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,44T,46T,62T,63T,57T,58T,67T,68T,69T,70T(เก่า),71T,72T(เก่า),73T,75T,76T,77T,79T,80T
1/1/2018,17,n/a,n/a,21,30,n/a,27,31,15,n/a,31,n/a,n/a,n/a,25,n/a,n/a,17,n/a,23,35,n/a,16,n/a,n/a,n/a,n/a,27,20,n/a,n/a,n/a,16,n/a,n/a,10,16,11,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,25,24,26,10
2/1/2018,25,n/a,n/a,26,33,n/a,30,37,17,n/a,33,n/a,n/a,n/a,33,n/a,n/a,21,n/a,35,45,n/a,20,n/a,27,n/a,n/a,28,n/a,n/a,n/a,n/a,17,n/a,n/a,15,20,13,19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,28,29,31,13
3/1/2018,34,n/a,n/a,38,42,n/a,40,50,22,n/a,40,n/a,n/a,n/a,38,n/a,n/a,35,n/a,42,60,n/a,29,n/a,34,n/a,n/a,28,16,n/a,n/a,n/a,19,n/a,n/a,10,23,16,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18,29,32,36,11
4/1/2018,41,n/a,n/a,39,45,n/a,45,53,24,n/a,51,n/a,n/a,n/a,55,n/a,n/a,36,n/a,49,79,n/a,37,n/a,45,n/a,n/a,30,21,n/a,n/a,n/a,20,n/a,n/a,11,20,11,20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20,32,44,44,12
5/1/2018,42,n/a,n/a,51,53,n/a,51,58,27,n/a,59,n/a,n/a,n/a,56,n/a,n/a,47,n/a,48,72,n/a,55,n/a,64,n/a,n/a,23,22,n/a,n/a,n/a,20,n/a,n/a,14,36,17,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20,37,49,47,12
6/1/2018,46,n/a,n/a,42,n/a,n/a,48,52,25,n/a,54,n/a,n/a,n/a,60,n/a,n/a,61,n/a,52,49,n/a,46,n/a,68,n/a,n/a,30,39,n/a,n/a,n/a,22,n/a,n/a,13,35,13,20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18,40,49,58,14
7/1/2018,8,n/a,n/a,26,n/a,n/a,19,20,10,n/a,15,n/a,n/a,n/a,18,n/a,n/a,41,n/a,16,18,n/a,17,n/a,n/a,n/a,n/a,31,40,n/a,n/a,n/a,29,n/a,n/a,10,31,9,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22,34,24,37,12
8/1/2018,8,n/a,n/a,10,n/a,n/a,16,16,10,n/a,15,n/a,n/a,n/a,21,n/a,n/a,34,n/a,12,10,n/a,16,n/a,n/a,n/a,n/a,26,35,n/a,n/a,n/a,45,n/a,n/a,13,35,6,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28,32,30,22,8
9/1/2018,8,n/a,n/a,22,14,n/a,22,21,14,n/a,19,n/a,n/a,n/a,17,n/a,n/a,46,n/a,22,12,n/a,23,n/a,n/a,n/a,n/a,24,24,n/a,n/a,n/a,26,n/a,n/a,9,30,6,19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20,30,40,35,9
10/1/2018,10,n/a,n/a,10,9,n/a,17,21,8,n/a,21,n/a,n/a,n/a,20,n/a,n/a,29,n/a,26,26,n/a,18,n/a,n/a,n/a,n/a,22,23,n/a,n/a,n/a,29,n/a,n/a,8,15,10,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19,25,n/a,31,8
11/1/2018,22,n/a,n/a,25,29,n/a,35,44,18,n/a,35,n/a,n/a,n/a,30,n/a,n/a,33,n/a,35,50,n/a,16,n/a,25,n/a,n/a,37,30,n/a,n/a,n/a,28,n/a,n/a,6,27,8,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,27,31,26,8
12/1/2018,26,n/a,n/a,34,33,n/a,37,50,16,n/a,39,n/a,n/a,n/a,31,n/a,n/a,27,n/a,50,58,n/a,18,n/a,26,n/a,n/a,21,n/a,n/a,n/a,n/a,11,n/a,n/a,12,27,n/a,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18,31,28,32,8
13/1/2018,34,n/a,n/a,36,46,n/a,44,58,19,n/a,50,n/a,n/a,n/a,41,n/a,n/a,33,n/a,51,65,n/a,27,n/a,35,n/a,n/a,25,15,n/a,n/a,n/a,21,n/a,n/a,19,31,12,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23,27,47,41,14
14/1/2018,41,n/a,n/a,38,48,n/a,45,62,20,n/a,52,n/a,n/a,n/a,56,n/a,n/a,42,n/a,51,61,n/a,35,n/a,43,n/a,n/a,33,25,n/a,n/a,n/a,27,n/a,n/a,17,24,13,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23,35,37,45,19
