Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,57T,58T,67T,68T,69T,70T(เก่า),70T(ใหม่),71T,72T(เก่า),73T,74T,75T,76T,77T,78T,79T,80T,81T
1/1/2019,n/a,15,20,22,n/a,23,n/a,25,22,28,27,31,28,23,21,n/a,15,19,24,18,12,n/a,14,15,29,n/a,n/a,14,n/a,16,19,16,15,26,27,16,13,7,17,20,19,n/a,n/a,24,n/a,n/a,19,27,10,14,15,26,19,17,n/a,12,11,11,n/a,6,28,18,,23,14,n/a
2/1/2019,n/a,21,26,21,n/a,23,n/a,25,25,30,30,30,34,23,26,n/a,22,26,28,19,14,n/a,15,20,32,n/a,n/a,20,n/a,21,21,17,19,21,17,15,14,7,15,24,18,n/a,n/a,27,n/a,n/a,19,28,10,10,11,27,20,14,n/a,14,15,11,n/a,6,25,20,,35,21,n/a
3/1/2019,n/a,24,26,25,n/a,24,n/a,29,28,34,33,35,35,32,37,n/a,26,29,33,22,21,n/a,24,19,36,n/a,n/a,n/a,n/a,25,27,27,25,21,16,15,12,7,15,35,24,n/a,n/a,24,n/a,n/a,10,15,13,6,11,30,13,13,n/a,13,17,14,n/a,8,39,23,,39,16,n/a
4/1/2019,n/a,27,32,29,n/a,28,32,33,31,37,39,40,39,33,36,n/a,30,30,39,27,24,n/a,34,21,53,48,n/a,28,n/a,31,29,26,25,20,16,16,13,9,14,34,16,n/a,n/a,30,n/a,n/a,9,10,14,4,14,30,18,15,n/a,19,15,11,n/a,8,34,24,,45,10,n/a
5/1/2019,n/a,33,37,36,n/a,35,39,43,34,46,51,47,48,45,45,n/a,38,38,43,35,37,n/a,41,31,55,63,n/a,41,n/a,42,37,36,34,22,16,17,15,10,17,49,7,n/a,n/a,38,n/a,n/a,15,14,15,4,17,28,21,16,n/a,26,21,12,n/a,8,29,27,,48,13,n/a
6/1/2019,n/a,62,61,60,n/a,63,68,76,51,81,75,91,86,75,64,n/a,63,62,59,63,47,n/a,47,36,66,80,n/a,51,n/a,42,53,37,42,21,18,17,24,13,22,47,11,n/a,n/a,35,n/a,n/a,12,13,n/a,7,15,28,27,16,n/a,34,15,11,n/a,8,29,44,,52,8,n/a
7/1/2019,n/a,65,60,61,n/a,56,68,69,58,74,71,83,80,68,65,n/a,60,68,74,57,48,n/a,62,45,67,76,n/a,44,n/a,40,57,50,58,27,22,26,19,16,22,39,7,n/a,n/a,36,n/a,n/a,16,17,5,9,15,29,22,23,n/a,39,16,17,n/a,11,31,49,,59,9,n/a
8/1/2019,n/a,19,27,28,n/a,23,23,38,n/a,23,28,34,32,22,30,n/a,18,13,28,50,53,n/a,66,45,35,12,n/a,25,n/a,29,28,28,26,23,17,22,16,15,24,53,13,n/a,n/a,34,n/a,n/a,17,17,7,5,17,24,26,18,n/a,48,21,12,n/a,9,31,34,,52,10,n/a
9/1/2019,n/a,22,26,27,n/a,24,30,n/a,n/a,26,33,43,33,32,35,n/a,20,14,24,26,27,n/a,96,32,28,15,n/a,n/a,n/a,n/a,20,19,16,18,15,14,13,15,17,35,10,n/a,n/a,38,n/a,n/a,18,18,n/a,9,14,20,16,15,n/a,43,19,8,n/a,7,24,24,,39,10,n/a
10/1/2019,n/a,37,40,39,n/a,35,45,56,47,44,46,49,46,44,52,n/a,32,31,42,45,44,n/a,78,53,50,36,n/a,28,n/a,29,36,30,32,21,20,28,23,24,31,41,12,n/a,n/a,40,n/a,n/a,16,19,18,7,21,24,25,19,n/a,45,19,16,n/a,16,29,47,,58,9,n/a
