Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,46T,47T,72T(เก่า),72T(ใหม่),82T,83T,88T,90T,91T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T(ใหม่),76T,86T,92T,42T,43T,44T,62T,63T,78T,80T,89T,93T
1/1/2021,27,20,22,25,22,20,25,24,25,26,26,28,25,18,19,29,24,22,19,23,28,23,21,16,18,36,11,23,17,19,32,21,25,N/A,32,14,21,N/A,N/A,16,14,16,15,18,18,17,16,15,10,22,16,32,24,25,20,20,27,20,19,24,33,27,22,17,30,27,N/A,38,N/A,19,23,20,18,17,7,18,17,N/A
2/1/2021,32,25,26,27,27,23,26,29,31,32,33,33,31,25,25,35,28,27,21,28,34,24,30,21,22,37,12,28,21,26,39,25,30,N/A,57,24,25,N/A,N/A,18,16,18,17,19,21,20,22,19,14,25,17,30,26,43,37,24,32,27,23,28,29,33,25,26,31,37,25,44,N/A,19,24,16,15,19,8,13,17,N/A
3/1/2021,46,37,33,41,40,38,29,44,44,44,48,47,44,40,35,53,38,37,32,40,47,34,45,30,28,50,14,40,36,41,54,36,30,N/A,73,23,24,N/A,N/A,29,30,27,29,31,29,27,31,28,17,34,21,36,34,53,33,28,37,38,29,31,28,37,25,28,37,49,33,57,N/A,22,27,15,15,18,6,12,15,N/A
4/1/2021,39,31,32,36,38,36,28,46,41,37,49,55,37,34,31,45,26,32,26,43,49,30,38,21,24,41,15,33,34,35,32,25,28,N/A,47,15,28,N/A,N/A,24,28,25,25,30,22,19,25,23,9,24,19,41,40,46,30,26,34,35,33,34,34,38,26,31,35,46,38,61,N/A,23,27,12,12,12,3,9,17,N/A
5/1/2021,50,31,31,32,44,28,24,67,41,48,35,42,52,46,33,68,32,33,31,49,61,33,37,27,29,42,14,35,32,34,44,42,25,N/A,48,34,28,N/A,N/A,26,24,30,23,28,25,24,28,28,19,28,19,40,45,46,27,35,34,37,38,41,30,33,23,25,32,46,51,51,N/A,19,27,14,8,13,3,11,14,N/A
6/1/2021,57,32,36,36,39,32,25,85,36,53,38,47,42,40,32,53,41,37,39,65,84,42,51,28,30,43,20,33,39,35,35,30,21,N/A,31,10,19,N/A,N/A,29,30,31,30,34,27,28,31,26,22,29,22,36,30,46,24,33,33,36,40,39,29,29,24,28,31,49,46,53,N/A,17,18,11,15,11,2,6,9,N/A
7/1/2021,37,26,30,30,31,25,23,62,32,36,31,38,31,29,31,40,32,28,25,66,83,37,52,23,34,53,17,34,34,32,36,31,19,N/A,27,18,24,N/A,N/A,35,30,33,31,33,25,27,24,23,20,26,14,32,28,47,28,30,31,30,38,39,24,30,23,27,30,41,60,45,N/A,12,17,11,13,11,3,8,11,N/A
8/1/2021,26,21,24,23,24,21,20,26,25,22,25,30,23,22,19,33,28,19,19,29,25,27,30,23,26,45,16,33,19,27,17,18,16,N/A,33,8,7,N/A,N/A,20,23,23,21,24,18,16,19,20,10,22,10,37,32,39,25,24,28,19,35,35,21,29,18,22,27,31,42,24,N/A,14,17,12,20,15,3,9,15,N/A
9/1/2021,23,19,13,20,22,18,18,19,20,21,24,24,20,18,13,31,23,18,20,27,37,23,23,17,17,39,11,20,19,20,25,17,11,N/A,28,7,9,N/A,N/A,17,20,17,17,20,16,19,16,11,9,18,11,36,29,34,22,18,23,18,23,27,23,21,17,20,20,22,30,24,N/A,17,23,13,17,15,5,10,22,N/A
10/1/2021,30,27,20,25,26,25,22,35,27,29,31,33,29,23,21,37,33,27,24,35,53,37,44,22,22,47,14,32,34,28,25,22,13,N/A,23,11,13,N/A,N/A,22,25,26,22,27,26,21,21,22,14,25,14,35,36,37,32,30,31,27,34,26,25,26,20,20,29,30,44,33,N/A,18,24,16,16,16,5,11,18,N/A
11/1/2021,35,27,20,31,29,28,23,37,32,32,32,36,29,25,22,36,31,30,24,35,49,31,41,20,23,43,17,32,36,25,29,23,18,N/A,33,16,27,N/A,N/A,25,29,27,25,29,20,25,23,22,11,28,18,40,45,38,31,29,33,25,24,24,31,27,16,22,27,34,46,31,N/A,18,24,14,20,17,6,12,19,N/A
12/1/2021,33,26,19,29,28,26,22,36,31,31,33,30,29,24,24,36,30,28,24,32,38,27,28,26,34,74,14,24,27,30,46,35,25,N/A,42,24,32,N/A,N/A,19,15,17,14,17,24,26,24,22,17,30,17,25,N/A,28,20,33,23,30,12,13,30,22,16,13,25,17,32,30,N/A,22,26,14,17,16,8,13,15,N/A
