Date,Wind Dir,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5
2011-01-01,13.0,0.5,25.3,61.7,26.2,1007.9,0.0,12245,
2011-01-02,11.0,1.4,26.8,62.3,28.0,1008.5,0.0,11574,
2011-01-03,357.0,1.1,28.0,60.3,29.5,1008.6,0.0,11826,
2011-01-04,28.0,1.6,27.9,61.5,29.5,1008.4,0.0,16314,
2011-01-05,10.0,1.5,28.6,60.6,30.4,1008.5,0.0,18262,
2011-01-06,32.0,2.9,29.2,57.7,31.0,1009.1,0.0,19452,
2011-01-07,23.0,3.6,28.5,58.2,30.0,1010.1,0.0,19806,
2011-01-10,18.0,1.7,25.7,67.0,26.8,1008.4,0.0,15546,
2011-01-11,29.0,0.6,26.9,63.5,28.2,1007.8,0.4,14532,
2011-01-12,33.0,0.1,25.0,71.8,26.0,1008.1,1.6,8766,
2011-01-13,26.0,0.3,25.8,65.4,26.9,1008.6,0.0,14146,
2011-01-14,54.0,0.5,25.8,72.0,27.0,1009.0,0.0,11285,
2011-01-15,28.0,2.0,25.6,57.3,26.5,1011.0,0.0,15313,
2011-01-16,22.0,2.5,23.8,62.2,25.1,1011.2,0.0,15024,
2011-01-17,20.0,1.4,23.8,63.4,25.0,1011.3,0.0,9565,
2011-01-18,25.0,0.7,24.5,63.9,25.6,1009.9,0.0,11178,
2011-01-19,42.0,0.2,26.0,59.7,26.9,1009.0,0.0,12141,
2011-01-20,20.0,0.1,25.9,63.4,26.9,1008.5,0.0,9573,
2011-01-21,14.0,0.2,27.0,56.2,27.8,1008.5,0.0,13389,
2011-01-22,28.0,1.1,27.7,59.7,29.0,1010.1,0.0,16691,
2011-01-23,19.0,0.9,28.5,62.2,30.5,1010.8,0.0,14520,
2011-01-24,38.0,1.2,29.2,57.2,31.0,1010.7,0.0,17722,
2011-01-25,28.0,2.4,28.3,56.3,29.5,1011.3,0.0,18742,
2011-01-26,25.0,1.1,28.7,52.5,29.6,1012.0,0.0,18407,
2011-01-27,360.0,1.7,29.0,54.6,30.2,1011.7,0.0,18470,
2011-01-28,16.0,2.0,29.0,56.2,30.4,1010.3,0.0,19352,
2011-01-29,25.0,3.0,26.9,56.6,27.7,1011.4,0.0,19368,
2011-01-30,16.0,2.3,25.5,57.3,26.4,1012.8,0.0,17544,
2011-01-31,19.0,1.6,25.1,61.0,26.1,1012.1,0.0,15280,
2011-02-01,8.0,1.3,26.4,58.2,27.3,1011.2,0.0,15031,
2011-02-02,21.0,1.2,26.6,62.1,27.7,1010.8,0.0,12995,
2011-02-03,30.0,1.2,27.3,58.5,28.3,1010.3,0.0,15947,
2011-02-04,46.0,0.4,27.7,61.4,29.1,1009.6,0.0,12757,
2011-02-05,137.0,0.0,27.7,74.9,30.8,1009.9,0.0,8166,
2011-02-06,146.0,0.5,27.9,77.5,31.6,1009.7,0.0,11851,
2011-02-07,157.0,3.0,28.6,76.7,33.1,1007.6,0.0,14409,
