"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"11/01/04", "133", "2.1", "25.5", "66.0", "26.6", "1007.3", "0.0", ""
"11/01/11", "46", "1.6", "25.4", "67.9", "26.5", "1006.4", "0.0", ""
"11/01/18", "188", "1.7", "24.1", "64.7", "25.2", "1008.4", "0.0", ""
"11/01/22", "116", "1.8", "26.5", "57.9", "27.4", "1008.9", "0.0", ""
"11/01/31", "52", "2.6", "24.1", "61.2", "25.3", "1010.9", "0.0", ""
"11/02/12", "129", "2.6", "28.1", "68.1", "30.6", "1005.0", "0.0", ""
"11/02/26", "137", "1.5", "27.8", "78.3", "31.3", "1005.6", "5.8", ""
"11/02/27", "123", "1.7", "28.9", "75.8", "33.5", "1005.9", "0.0", ""
"11/02/28", "100", "2.0", "30.1", "70.4", "35.3", "1004.2", "0.0", ""
"11/03/01", "148", "2.4", "30.1", "69.2", "35.2", "1004.0", "0.0", ""
"11/03/02", "220", "3.1", "28.0", "77.9", "31.9", "1005.2", "108.6", ""
"11/03/03", "33", "1.8", "29.1", "71.9", "33.2", "1005.2", "0.0", ""
"11/03/04", "215", "2.1", "27.4", "79.5", "30.7", "1005.4", "0.0", ""
"11/03/05", "132", "2.1", "29.7", "67.9", "33.9", "1005.4", "0.0", ""
"11/03/06", "49", "2.1", "30.5", "65.5", "35.1", "1005.9", "0.0", ""
"11/03/07", "137", "2.2", "30.1", "74.4", "36.5", "1005.2", "0.0", ""
"11/03/08", "109", "2.9", "28.8", "76.5", "33.4", "1006.5", "0.0", ""
"11/03/09", "110", "1.5", "26.5", "89.0", "29.3", "1008.7", "22.0", ""
"11/03/10", "87", "2.1", "28.4", "74.1", "32.2", "1008.0", "0.0", ""
"11/03/12", "132", "2.1", "29.3", "69.2", "33.1", "1006.7", "0.0", ""
"11/04/16", "170", "2.4", "30.5", "67.4", "35.6", "1005.1", "0.0", ""
"11/05/05", "229", "2.6", "30.0", "71.6", "35.4", "1003.8", "0.0", ""
"11/05/11", "261", "3.6", "30.5", "64.5", "34.8", "1001.9", "0.0", ""
"11/05/13", "250", "2.6", "28.5", "80.5", "33.4", "1002.6", "0.0", ""
"11/05/21", "264", "3.2", "30.6", "58.9", "33.7", "1003.1", "0.0", ""
"11/05/22", "264", "3.5", "30.8", "58.8", "34.1", "1003.4", "0.0", ""
"11/06/06", "192", "2.2", "30.1", "61.6", "33.3", "1004.3", "0.2", ""
"11/06/11", "230", "3.6", "29.1", "63.0", "31.7", "1002.5", "0.4", ""
"11/06/14", "243", "2.4", "29.1", "64.9", "32.1", "1004.0", "0.2", ""
"11/06/15", "244", "2.8", "28.1", "68.3", "30.6", "1003.6", "9.0", ""
"11/06/19", "251", "3.2", "28.8", "65.5", "31.5", "1000.8", "0.0", ""
"11/06/25", "227", "3.1", "29.9", "58.6", "32.3", "999.8", "0.0", ""
"11/06/26", "243", "2.7", "29.2", "66.4", "32.5", "1001.7", "2.2", ""
"11/06/29", "240", "3.1", "31.0", "60.3", "35.0", "1003.9", "0.0", ""
"11/07/15", "224", "2.9", "28.0", "68.7", "30.4", "1002.1", "0.0", ""
"11/07/18", "222", "3.7", "28.9", "64.6", "31.6", "1002.9", "0.0", ""
"11/07/20", "241", "2.1", "28.2", "72.6", "31.3", "1003.3", "1.2", ""
"11/07/24", "246", "2.5", "28.0", "67.1", "30.2", "1002.0", "12.0", ""
"11/08/13", "275", "2.9", "29.2", "60.8", "31.6", "1003.9", "1.2", ""
"11/08/16", "233", "2.7", "26.8", "75.0", "28.9", "1005.4", "7.6", ""
"11/08/23", "273", "4.3", "30.8", "53.2", "32.9", "1003.7", "0.0", ""
"11/08/27", "273", "2.5", "28.0", "58.3", "29.2", "1001.7", "46.2", ""
"11/09/07", "239", "2.5", "27.3", "78.4", "30.3", "1003.1", "1.0", ""
"11/09/08", "255", "2.8", "28.3", "72.5", "31.6", "1003.3", "1.6", ""
"11/09/09", "284", "3.4", "28.9", "66.7", "32.0", "1003.2", "0.2", ""
"11/09/18", "269", "3.4", "29.4", "64.0", "32.5", "1003.2", "0.0", ""
"11/09/27", "265", "2.8", "28.8", "67.6", "31.9", "1001.6", "0.0", ""
"11/10/03", "327", "2.3", "27.5", "79.9", "30.8", "1003.4", "10.0", ""
"11/10/09", "339", "1.6", "26.5", "86.5", "29.0", "1006.0", "26.4", ""
"11/10/13", "237", "2.2", "28.5", "76.6", "32.8", "1004.4", "0.2", ""
"11/10/16", "336", "1.9", "26.2", "84.8", "28.3", "1005.8", "1.0", ""
"11/10/17", "13", "2.6", "25.3", "87.1", "26.5", "1007.6", "3.6", ""
"11/10/22", "41", "1.8", "27.9", "77.8", "31.6", "1006.1", "0.0", ""
"11/10/29", "25", "2.7", "28.2", "71.6", "31.3", "1005.8", "0.0", ""
"11/11/01", "76", "2.7", "28.1", "66.5", "30.5", "1006.5", "0.0", ""
"11/11/05", "18", "2.1", "27.9", "70.2", "30.6", "1005.9", "0.0", ""
"11/11/10", "39", "2.4", "26.2", "71.0", "27.7", "1006.8", "0.0", ""
"11/11/11", "59", "2.4", "26.1", "68.4", "27.4", "1007.9", "0.0", ""
"11/11/22", "30", "4.2", "29.5", "58.6", "31.6", "1007.7", "2.0", ""
"11/12/01", "74", "2.0", "26.9", "64.1", "28.2", "1006.9", "0.0", ""
"11/12/04", "81", "2.3", "26.0", "57.3", "26.8", "1007.5", "0.0", ""
"11/12/08", "44", "2.3", "27.1", "68.0", "28.9", "1006.9", "0.0", ""
"11/12/09", "49", "2.7", "26.7", "61.1", "27.8", "1008.4", "0.0", ""
"11/12/14", "69", "2.3", "25.4", "56.4", "26.2", "1009.1", "0.0", ""
"11/12/15", "34", "2.8", "27.6", "54.2", "28.3", "1008.1", "0.0", ""
"11/12/21", "66", "2.5", "26.6", "53.0", "27.2", "1008.6", "0.0", ""
"11/12/22", "45", "3.0", "27.3", "54.1", "28.0", "1008.1", "0.0", ""
"12/01/03", "161", "2.0", "27.2", "67.5", "29.0", "1008.8", "0.0", ""
"12/01/12", "56", "2.9", "26.6", "52.5", "27.2", "1010.1", "0.0", ""
"12/01/13", "57", "2.2", "26.3", "59.0", "27.2", "1008.5", "0.0", ""
"12/01/15", "190", "2.0", "27.0", "57.2", "27.9", "1004.4", "3.6", ""
"12/01/18", "117", "2.4", "28.8", "63.7", "31.3", "1004.6", "0.0", ""
"12/01/21", "207", "2.2", "27.9", "67.2", "30.2", "1005.8", "4.0", ""
"12/01/29", "82", "2.0", "29.6", "58.8", "31.8", "1006.0", "0.0", ""
"12/02/01", "69", "2.0", "27.5", "64.3", "29.2", "1008.2", "0.0", ""
"12/02/08", "152", "2.6", "29.1", "50.2", "29.8", "1006.5", "0.0", ""
