Date,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5,year,month_sin,month_cos,dayofweek_sin,dayofweek_cos,dayofyear_sin,dayofyear_cos,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM2.5_lag7,PM2.5_lag14,PM2.5_lag30,PM2.5_rollmean3,PM2.5_rollstd3,PM2.5_rollmean7,PM2.5_rollstd7,PM2.5_rollmean14,PM2.5_rollstd14,Wind Dir_sin,Wind Dir_cos,Prec._lag1,Prec._lag2,Prec._lag3,Prec._lag7,Prec._lag14,Prec._rollsum3,Prec._rollmean3,Prec._rollsum7,Prec._rollmean7,Prec._rollsum14,Prec._rollmean14
2018-04-10,3.2,30.4,69.7,36.0,1009.3,0.0,16207,43.0,2018,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.9911140639934547,-0.1330147065341959,,,,,,,,,,,,,1.2246467991473532e-16,-1.0,,,,,,,,,,,
2018-04-11,4.5,30.2,79.1,38.0,1008.5,0.0,17389,19.0,2018,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.9886775902323405,-0.1500553983446526,43.0,,,,,,43.0,,43.0,,43.0,,-0.22495105434386498,-0.9743700647852352,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-12,4.8,30.3,78.9,38.1,1008.2,0.0,18160,11.0,2018,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.9859481499638304,-0.16705162550211924,19.0,43.0,,,,,31.0,16.97056274847714,31.0,16.97056274847714,31.0,16.97056274847714,-0.2079116908177595,-0.9781476007338056,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-13,4.8,30.5,79.7,39.2,1008.3,0.0,17780,9.0,2018,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.9829265519799822,-0.18399835165768005,11.0,19.0,43.0,,,,24.333333333333332,16.65332799572906,24.333333333333332,16.65332799572906,24.333333333333332,16.65332799572906,-0.2419218955996675,-0.9702957262759965,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-14,5.0,30.6,79.5,39.4,1007.6,0.0,19379,9.0,2018,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.9796136916454901,-0.20089055513063506,9.0,11.0,19.0,,,,13.0,5.291502622129175,20.5,15.609825965290794,20.5,15.609825965290794,-0.19080899537654472,-0.981627183447664,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-15,3.7,30.5,77.7,38.6,1007.9,0.0,19031,8.0,2018,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.9760105506323683,-0.21772323039653177,9.0,9.0,11.0,,,,9.666666666666666,1.154700538379215,18.2,14.463747785411636,18.2,14.463747785411636,0.06975647374412552,-0.9975640502598242,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-16,3.6,30.8,74.8,38.6,1009.2,0.0,18168,16.0,2018,1.0,6.123233995736766e-17,0.0,1.0,0.9721181966290613,-0.23449138957040985,8.0,9.0,9.0,,,,8.666666666666666,0.5773502691896255,16.5,13.590437814875575,16.5,13.590437814875575,0.2249510543438652,-0.9743700647852351,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-17,3.1,25.5,93.6,26.8,1011.4,29.6,11702,10.0,2018,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.9679377830240642,-0.25119006388481935,16.0,8.0,9.0,43.0,,,11.0,4.358898943540674,16.428571428571427,12.4077548715463,16.428571428571427,12.4077548715463,0.8910065241883678,0.4539904997395468,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-18,2.4,28.7,79.3,33.7,1009.9,0.0,15726,19.0,2018,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.9634705485641488,-0.2678143051621742,10.0,16.0,8.0,19.0,,,11.333333333333334,4.163331998932266,11.714285714285714,4.151878519188058,15.625,11.710038428630368,0.258819045102521,-0.9659258262890682,29.6,0.0,0.0,0.0,,29.6,9.866666666666667,29.6,4.228571428571429,29.6,3.7
2018-04-19,4.5,30.3,77.9,38.0,1008.4,0.0,19247,12.0,2018,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.9587178169872964,-0.2843591872810034,19.0,10.0,16.0,11.0,,,15.0,4.58257569495584,11.714285714285714,4.151878519188058,16.0,11.01135777277262,-0.2079116908177595,-0.9781476007338056,0.0,29.6,0.0,0.0,,29.6,9.866666666666667,29.6,4.228571428571429,29.6,3.288888888888889
