epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,24,,,26.091352462768555,0.9091063141822815,26.091352462768555,1.6667184829711914,25.568647384643555
0,24,20.450138092041016,,,,,,
1,49,,19.039413452148438,,,,,
1,49,,,24.327348709106445,0.8476427793502808,24.327348709106445,1.4711458683013916,23.76171875
1,49,18.412107467651367,,,,,,
2,74,,,22.16463851928711,0.7722870111465454,22.16463851928711,1.2580904960632324,21.642789840698242
2,74,16.448863983154297,,,,,,
3,99,,14.499285697937012,,,,,
3,99,,,19.742923736572266,0.6879067420959473,19.742923736572266,1.0485637187957764,19.248796463012695
3,99,14.394316673278809,,,,,,
4,124,,,17.175418853759766,0.5984466075897217,17.175418853759766,0.8539762496948242,16.64528465270996
4,124,12.29056167602539,,,,,,
5,149,,12.105924606323242,,,,,
5,149,,,14.694904327392578,0.512017548084259,14.694904327392578,0.688203752040863,13.916667938232422
5,149,10.373531341552734,,,,,,
6,174,,,12.575740814208984,0.4381791055202484,12.575740814208984,0.5611131191253662,11.179505348205566
6,174,8.906501770019531,,,,,,
7,199,,5.545933246612549,,,,,
7,199,,,10.384998321533203,0.3618466258049011,10.384998321533203,0.44177380204200745,8.286787033081055
7,199,7.64830207824707,,,,,,
8,224,,,8.6273193359375,0.300603449344635,8.6273193359375,0.3537766933441162,5.903645038604736
8,224,6.603768825531006,,,,,,
9,249,,6.740636348724365,,,,,
9,249,,,8.109086990356445,0.2825465798377991,8.109086990356445,0.3290296792984009,4.610791206359863
9,249,5.720109939575195,,,,,,
10,274,,,9.34510612487793,0.32561343908309937,9.34510612487793,0.3889346420764923,5.641523361206055
10,274,5.155498504638672,,,,,,
11,299,,4.24658727645874,,,,,
11,299,,,6.048360824584961,0.21074427664279938,6.048360824584961,0.2355664223432541,2.740218162536621
11,299,4.617839813232422,,,,,,
12,324,,,7.401998519897461,0.25790935754776,7.401998519897461,0.296091765165329,3.878488779067993
12,324,4.270179748535156,,,,,,
13,349,,3.2191035747528076,,,,,
13,349,,,7.6605987548828125,0.2669198215007782,7.6605987548828125,0.3080293834209442,3.764317035675049
13,349,3.980975866317749,,,,,,
14,374,,,6.291393280029297,0.21921230852603912,6.291393280029297,0.24619701504707336,2.795328140258789
14,374,3.741563081741333,,,,,,
15,399,,3.2261297702789307,,,,,
15,399,,,7.149961471557617,0.2491275668144226,7.149961471557617,0.28457537293434143,3.351454973220825
15,399,3.505063772201538,,,,,,
16,424,,,9.134475708007812,0.3182744085788727,9.134475708007812,0.3785093128681183,4.780951976776123
16,424,3.305295467376709,,,,,,
17,449,,2.9077305793762207,,,,,
17,449,,,10.451461791992188,0.364162415266037,10.451461791992188,0.44523054361343384,6.041332721710205
17,449,3.1720268726348877,,,,,,
18,474,,,7.947259902954102,0.2769080102443695,7.947259902954102,0.3214082419872284,3.7581470012664795
18,474,3.0599722862243652,,,,,,
19,499,,2.2221875190734863,,,,,
19,499,,,7.512310028076172,0.2617529630661011,7.512310028076172,0.30116888880729675,3.564821720123291
19,499,2.9149351119995117,,,,,,
20,524,,,8.11520004272461,0.28275957703590393,8.11520004272461,0.3293185532093048,4.0615949630737305
20,524,2.827136516571045,,,,,,
21,549,,1.8832510709762573,,,,,
21,549,,,11.430749893188477,0.3982839584350586,11.430749893188477,0.49732154607772827,7.012935161590576
21,549,2.708106279373169,,,,,,
