epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,24,,,5.6153364181518555,0.2343243956565857,8.116104125976562,0.23133520781993866,3.2157132625579834
0,24,5.032928943634033,,,,,,
1,49,,3.2698915004730225,,,,,
1,49,,,5.207932949066162,0.2120497226715088,7.571020603179932,0.21804167330265045,2.9216816425323486
1,49,3.5758023262023926,,,,,,
2,74,,,4.722962379455566,0.19125896692276,6.8723368644714355,0.1995420604944229,2.617483139038086
2,74,3.0778648853302,,,,,,
3,99,,3.1698081493377686,,,,,
3,99,,,4.460230350494385,0.1831154078245163,6.340048789978027,0.18752019107341766,2.405947685241699
3,99,2.7571072578430176,,,,,,
4,124,,,5.668910980224609,0.2676418423652649,7.311706066131592,0.23002754151821136,2.775294542312622
4,124,2.5490682125091553,,,,,,
5,149,,2.557218551635742,,,,,
5,149,,,4.4051432609558105,0.19399794936180115,6.197389125823975,0.18485920131206512,2.430570125579834
5,149,2.4617693424224854,,,,,,
6,174,,,4.688807010650635,0.209340438246727,6.3895416259765625,0.1943538337945938,2.508786678314209
6,174,2.244318962097168,,,,,,
7,199,,2.4566545486450195,,,,,
7,199,,,4.8792219161987305,0.18429608643054962,7.416487216949463,0.19873183965682983,2.7045750617980957
7,199,2.3749566078186035,,,,,,
8,224,,,4.237619400024414,0.1725819855928421,6.2990922927856445,0.17563511431217194,2.383052349090576
8,224,2.3751344680786133,,,,,,
9,249,,2.2593894004821777,,,,,
9,249,,,4.3404364585876465,0.16888265311717987,6.464844703674316,0.18093127012252808,2.4044363498687744
9,249,2.2771549224853516,,,,,,
10,274,,,4.997476577758789,0.2355005443096161,6.601290702819824,0.21188980340957642,2.68911075592041
10,274,2.15757417678833,,,,,,
11,299,,2.0069618225097656,,,,,
11,299,,,4.3213300704956055,0.17001043260097504,6.41387414932251,0.1773577481508255,2.422307014465332
11,299,2.1348376274108887,,,,,,
12,324,,,4.308485984802246,0.18906304240226746,6.11519193649292,0.17909112572669983,2.366992712020874
12,324,2.081124782562256,,,,,,
13,349,,2.1591758728027344,,,,,
13,349,,,4.176776885986328,0.17485560476779938,6.114019393920898,0.1750280261039734,2.3292059898376465
13,349,2.085827589035034,,,,,,
14,374,,,4.40113639831543,0.18985003232955933,6.358283519744873,0.18082965910434723,2.409724235534668
14,374,2.0947868824005127,,,,,,
15,399,,2.0740299224853516,,,,,
15,399,,,4.223390102386475,0.18883955478668213,5.96403169631958,0.17989110946655273,2.36240291595459
15,399,2.019650459289551,,,,,,
16,424,,,4.55875825881958,0.2010374665260315,6.435787677764893,0.1894514262676239,2.4874188899993896
16,424,2.010092258453369,,,,,,
17,449,,2.4874470233917236,,,,,
17,449,,,4.826663017272949,0.20328493416309357,6.858043670654297,0.19156810641288757,2.6674509048461914
17,449,1.9658735990524292,,,,,,
18,474,,,4.268843650817871,0.18967251479625702,5.994049072265625,0.1806812435388565,2.434213161468506
18,474,2.0514020919799805,,,,,,
19,499,,1.8944610357284546,,,,,
19,499,,,4.388528347015381,0.18622560799121857,6.210123062133789,0.17955772578716278,2.4647743701934814
19,499,2.009242534637451,,,,,,
20,524,,,4.278308391571045,0.18134663999080658,6.148321628570557,0.17692355811595917,2.3593547344207764
20,524,1.907340407371521,,,,,,
21,549,,1.8352651596069336,,,,,
21,549,,,4.2693305015563965,0.18015895783901215,6.171065807342529,0.17661692202091217,2.3797333240509033
21,549,1.8742649555206299,,,,,,
22,574,,,4.247292518615723,0.177804097533226,6.157890796661377,0.17558088898658752,2.392517566680908
22,574,1.8442201614379883,,,,,,
23,599,,1.8923487663269043,,,,,
23,599,,,4.244410991668701,0.18019001185894012,6.087193012237549,0.1762232631444931,2.3888401985168457
23,599,1.8408117294311523,,,,,,
24,624,,,4.263501167297363,0.18336614966392517,6.068260192871094,0.17764681577682495,2.3825440406799316
24,624,1.8301562070846558,,,,,,
25,649,,1.583094835281372,,,,,
25,649,,,4.23486328125,0.17786213755607605,6.127838611602783,0.175837442278862,2.3896965980529785
25,649,1.8443973064422607,,,,,,
26,674,,,4.3009843826293945,0.18487271666526794,6.1227617263793945,0.17962321639060974,2.4124865531921387
26,674,1.829301118850708,,,,,,
27,699,,1.6703953742980957,,,,,
27,699,,,4.2263336181640625,0.17569242417812347,6.161114692687988,0.17530320584774017,2.407447099685669
27,699,1.8227587938308716,,,,,,
28,724,,,4.297110080718994,0.18585637211799622,6.111495494842529,0.18001054227352142,2.4203131198883057
28,724,1.8166788816452026,,,,,,
29,749,,1.9474735260009766,,,,,
29,749,,,4.351158142089844,0.1900506168603897,6.13300895690918,0.1822926551103592,2.4416916370391846
29,749,1.8222705125808716,,,,,,
30,774,,,4.251943588256836,0.17761127650737762,6.1843438148498535,0.17625819146633148,2.4141910076141357
30,774,1.8016114234924316,,,,,,
31,799,,1.7644202709197998,,,,,
31,799,,,4.265610694885254,0.17979009449481964,6.168137073516846,0.17709298431873322,2.4185078144073486
31,799,1.809046745300293,,,,,,
32,824,,,4.279064178466797,0.1814849078655243,6.1603827476501465,0.17787304520606995,2.422055244445801
32,824,1.8018090724945068,,,,,,
33,849,,1.3199825286865234,,,,,
33,849,,,4.287361145019531,0.18249551951885223,6.157406330108643,0.1783483475446701,2.423565149307251
33,849,1.7648510932922363,,,,,,
